Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.754010416048211,0.639901730916475,0.222792430491545,0.9400661520346569,0.9610970189115224,1,1
Chr01_126238_809425,0.695562536759265,0.620766752383421,0.223265425209821,0.9400661520346569,0.9610970189115224,1,126238
Chr01_809426_814269,0.175787674348238,0.73477229998427,0.218831806656714,0.9474492412510551,0.9610970189115224,1,809426
Chr01_814270_1367747,0.2126271662004,0.592247223807136,0.210701186144716,0.9400661520346569,0.9610970189115224,1,814270
Chr01_1367748_1367899,0.837015514308718,0.992736095637785,0.330299917295083,0.9938403627074599,0.9610970189115224,1,1367748
Chr01_1367900_2042574,0.839766100380704,0.943879650924874,0.281852321576523,0.9930360504921091,0.9610970189115224,1,1367900
Chr01_2042575_2043251,0.711540012066162,0.98699059737773,0.345221822552806,0.9938403627074599,0.9610970189115224,1,2042575
Chr01_2043252_2231677,0.686377148637067,0.589857731215302,0.973786081531776,0.9400661520346569,0.9893524921969203,1,2043252
Chr01_2231678_2231705,0.895375396380129,0.513100860203964,0.578230190262703,0.9400661520346569,0.9610970189115224,1,2231678
Chr01_2231706_3033846,0.907929117921577,0.490450214908121,0.558771961221179,0.9400661520346569,0.9610970189115224,1,2231706
Chr01_3033847_3052413,0.576751790226732,0.370253153225471,0.713299058467034,0.9400661520346569,0.9641525628341292,1,3033847
Chr01_3052414_4229970,0.504537434834216,0.45461573034925,0.269705412675449,0.9400661520346569,0.9610970189115224,1,3052414
Chr01_4229971_4235626,0.44193053327732,0.276544533408805,0.224630789235359,0.9400661520346569,0.9610970189115224,1,4229971
Chr01_4235627_5264100,0.447798936673231,0.140786267397343,0.314833492530664,0.9400661520346569,0.9610970189115224,1,4235627
Chr01_5264101_5264149,0.365442008493357,0.0610814951258244,0.240058924216187,0.9400661520346569,0.9610970189115224,1,5264101
Chr01_5264150_5885231,0.372960393885325,0.0336833102449777,0.0503340962132962,0.9400661520346569,0.8389016035549367,1,5264150
Chr01_5885232_5886075,0.733043172399106,0.0456534812101431,0.0961555435049433,0.9400661520346569,0.9509888918071316,1,5885232
Chr01_5886076_6253003,0.654530175892388,0.0646314870360105,0.158326993877176,0.9400661520346569,0.9610970189115224,1,5886076
Chr01_6253004_6253851,0.660215967243517,0.0196533559572047,0.459754838900549,0.9400661520346569,0.9610970189115224,1,6253004
Chr01_6253852_6811196,0.633865545671664,0.0292548142763734,0.56799231690332,0.9400661520346569,0.9610970189115224,1,6253852
Chr01_6811197_6811650,0.643001171799213,0.0179761401971351,0.351720214349992,0.9400661520346569,0.9610970189115224,1,6811197
Chr01_6811651_7107385,0.662329139025596,0.191469146112218,0.502422114575803,0.9400661520346569,0.9610970189115224,1,6811651
Chr01_7107386_7117068,0.6662694951313,0.171324885078766,0.109140105000153,0.9400661520346569,0.9610970189115224,1,7107386
Chr01_7117069_8021093,0.505470426886115,0.282346820839878,0.32692832443463,0.9400661520346569,0.9610970189115224,1,7117069
Chr01_8021094_8021338,0.509832475423247,0.641874877993584,0.397944246212572,0.9400661520346569,0.9610970189115224,1,8021094
Chr01_8021339_8546533,0.489446479551685,0.471088735543336,0.453836531795746,0.9400661520346569,0.9610970189115224,1,8021339
Chr01_8546534_8548055,0.56728728851991,0.621647046564078,0.493712262093376,0.9400661520346569,0.9610970189115224,1,8546534
Chr01_8548056_9439189,0.573910562225808,0.73644659741062,0.405595348883919,0.9474492412510551,0.9610970189115224,1,8548056
Chr01_9439190_9439923,0.647276292730345,0.835383520973028,0.121482025128245,0.9685183634739277,0.9610970189115224,1,9439190
Chr01_9439924_10127710,0.811921656837179,0.941640307979081,0.290043800525579,0.9930360504921091,0.9610970189115224,1,9439924
Chr01_10127711_10127775,0.773443660122592,0.978839799804034,0.536530861595091,0.9938403627074599,0.9610970189115224,1,10127711
Chr01_10127776_10700451,0.905249723283652,0.611904654066091,0.338619981333792,0.9400661520346569,0.9610970189115224,1,10127776
Chr01_10700452_10700489,0.103445563094227,0.202572483007954,0.516113743043276,0.9400661520346569,0.9610970189115224,1,10700452
Chr01_10700490_11189458,0.0628656288490396,0.200643114913163,0.980447209126583,0.9400661520346569,0.9893524921969203,1,10700490
Chr01_11189459_11289027,0.0974036957679225,0.304741770208878,0.637583124484153,0.9400661520346569,0.9610970189115224,1,11189459
Chr01_11289028_11965532,0.521926120167706,0.454971143177131,0.44495710497773,0.9400661520346569,0.9610970189115224,1,11289028
