Marker,Intercept,Deltoides,Del_P_adj,CHR,BP
Chr01_1_126237,0.0682939506468968,0.919093430650091,0.9792882798907498,1,1
Chr01_126238_809425,0.0682939506468968,0.919093430650091,0.9792882798907498,1,126238
Chr01_809426_814269,0.0682939506468968,0.919093430650091,0.9792882798907498,1,809426
Chr01_814270_1367747,0.0682939506468968,0.919093430650091,0.9792882798907498,1,814270
Chr01_1367748_1367899,0.0682939506468968,0.919093430650091,0.9792882798907498,1,1367748
Chr01_1367900_2042574,0.0682939506468968,0.919093430650091,0.9792882798907498,1,1367900
Chr01_2042575_2043251,0.0682939506468968,0.919093430650091,0.9792882798907498,1,2042575
Chr01_2043252_2231677,0.0682939506468968,0.919093430650091,0.9792882798907498,1,2043252
Chr01_2231678_2231705,0.0682939506468968,0.919093430650091,0.9792882798907498,1,2231678
Chr01_2231706_3033846,0.0682939506468968,0.919093430650091,0.9792882798907498,1,2231706
Chr01_3033847_3052413,0.0682939506468968,0.919093430650091,0.9792882798907498,1,3033847
Chr01_3052414_4229970,0.0682939506468968,0.919093430650091,0.9792882798907498,1,3052414
Chr01_4229971_4235626,0.0682939506468968,0.919093430650091,0.9792882798907498,1,4229971
Chr01_4235627_5264100,0.092551755586803,0.962815450605031,0.9820978428683678,1,4235627
Chr01_5264101_5264149,0.0312998423233003,0.905201861255052,0.9792882798907498,1,5264101
Chr01_5264150_5885231,0.0428160102130893,0.97629219104256,0.988689552198656,1,5264150
Chr01_5885232_5886075,0.0400213695479161,0.869960763166198,0.9792882798907498,1,5885232
Chr01_5886076_6253003,0.0399188011638034,0.734665102495789,0.9792882798907498,1,5886076
Chr01_6253004_6253851,0.0395125147057844,0.722254743497998,0.9792882798907498,1,6253004
Chr01_6253852_6811196,0.0512901080454765,0.907567035712371,0.9792882798907498,1,6253852
Chr01_6811197_6811650,0.0509674031003276,0.775909097179151,0.9792882798907498,1,6811197
Chr01_6811651_7107385,0.0533832543675758,0.76161301795676,0.9792882798907498,1,6811651
Chr01_7107386_7117068,0.040811421989751,0.953751332594103,0.9820978428683678,1,7107386
Chr01_7117069_8021093,0.146993176289897,0.86821012725294,0.9792882798907498,1,7117069
Chr01_8021094_8021338,0.111618697910038,0.94706873430493,0.9820978428683678,1,8021094
Chr01_8021339_8546533,0.111618697910038,0.94706873430493,0.9820978428683678,1,8021339
Chr01_8546534_8548055,0.0340908559766785,0.84920298184234,0.9792882798907498,1,8546534
Chr01_8548056_9439189,0.0116724373365591,0.703922072385658,0.9792882798907498,1,8548056
Chr01_9439190_9439923,0.0400731418490336,0.938669176740708,0.9820978428683678,1,9439190
Chr01_9439924_10127710,0.0473937721935744,0.829941237220658,0.9792882798907498,1,9439924
Chr01_10127711_10127775,0.0473937721935744,0.829941237220658,0.9792882798907498,1,10127711
Chr01_10127776_10700451,0.0588082012049107,0.780331569982917,0.9792882798907498,1,10127776
Chr01_10700452_10700489,0.049679525525922,0.709537441515939,0.9792882798907498,1,10700452
Chr01_10700490_11189458,0.0464953186443513,0.638759000978358,0.9792882798907498,1,10700490
Chr01_11189459_11289027,0.0497632546751816,0.662119207801852,0.9792882798907498,1,11189459
Chr01_11289028_11965532,0.0238092367914825,0.487311737802964,0.9330359472200842,1,11289028
Chr01_11965533_11966198,0.0229433317815404,0.360548756655036,0.9330359472200842,1,11965533
Chr01_11966199_12330339,0.0809067379306374,0.291439463846843,0.9330359472200842,1,11966199
Chr01_12330340_12330527,0.162206842592642,0.176172694080502,0.9330359472200842,1,12330340
Chr01_12330528_13051606,0.148333763755429,0.110753603294666,0.9330359472200842,1,12330528
Chr01_13051607_13052006,0.0406237706831641,0.116669475570691,0.9330359472200842,1,13051607
Chr01_13052007_13382483,0.0469538868461639,0.144713906260038,0.9330359472200842,1,13052007
Chr01_13382484_13382509,0.0447466828100418,0.0939465277929084,0.9330359472200842,1,13382484
Chr01_13382510_13576339,0.0285248312519984,0.0667535003731536,0.9330359472200842,1,13382510
Chr01_13576340_13576350,0.0388913618326022,0.0888852872836775,0.9330359472200842,1,13576340
Chr01_13576351_14061355,0.0596741018298621,0.134007302260295,0.9330359472200842,1,13576351
Chr01_14061356_14061634,0.0845662477377796,0.146652877106864,0.9330359472200842,1,14061356
Chr01_14061635_14604721,0.112697454899416,0.229900697521252,0.9330359472200842,1,14061635
Chr01_14604722_14607157,0.0635810652677453,0.444588627620887,0.9330359472200842,1,14604722
Chr01_14607158_15449572,0.0582185331915121,0.54456684238984,0.9330359472200842,1,14607158
Chr01_15449573_15456448,0.0386566785722044,0.645161792079143,0.9792882798907498,1,15449573
