Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.196960801877446,0.654051687103002,0.543679896578147,0.9478756078704754,0.9808314416587842,1,1
Chr01_126238_809425,0.221098011156793,0.706140475371437,0.530430917485204,0.9519929395692803,0.9808314416587842,1,126238
Chr01_809426_814269,0.304397333590316,0.677774075682891,0.459596443888934,0.9519929395692803,0.9808314416587842,1,809426
Chr01_814270_1367747,0.258527663921485,0.88229203069356,0.443969613514838,0.9594003869636414,0.9761249721798836,1,814270
Chr01_1367748_1367899,0.110606533439697,0.644176768523314,0.813137177074366,0.9478756078704754,0.9953073049047878,1,1367748
Chr01_1367900_2042574,0.111430382144843,0.643864086611887,0.786202103828326,0.9478756078704754,0.9953073049047878,1,1367900
Chr01_2042575_2043251,0.104027920160986,0.484322015636957,0.949130803289076,0.9468038029049239,0.9953073049047878,1,2042575
Chr01_2043252_2231677,0.125902419735628,0.854926050300403,0.569051214226713,0.9592219949792016,0.9808314416587842,1,2043252
Chr01_2231678_2231705,0.0678398518131098,0.58735072593484,0.953170406366801,0.9478756078704754,0.9953073049047878,1,2231678
Chr01_2231706_3033846,0.0610673130814889,0.542933568608362,0.916647730638513,0.9478756078704754,0.9953073049047878,1,2231706
Chr01_3033847_3052413,0.0200185452050711,0.439323739651045,0.713919906797739,0.9353686467996047,0.9920705198358191,1,3033847
Chr01_3052414_4229970,0.17239869554401,0.646177265608457,0.0741409527936842,0.9478756078704754,0.6317179116249464,1,3052414
Chr01_4229971_4235626,0.150336982224539,0.652811401721541,0.0480765152828534,0.9478756078704754,0.6082297076560285,1,4229971
Chr01_4235627_5264100,0.32425314840267,0.764665410746446,0.0438378599027468,0.9528466777375721,0.6082297076560285,1,4235627
Chr01_5264101_5264149,0.347362787875857,0.61224053670921,0.0323347941812784,0.9478756078704754,0.6082297076560285,1,5264101
Chr01_5264150_5885231,0.219352236462394,0.510657762881643,0.0338100168645366,0.9468038029049239,0.6082297076560285,1,5264150
Chr01_5885232_5886075,0.214290728850965,0.688356290186074,0.0612302007288344,0.9519929395692803,0.6248971071649263,1,5885232
Chr01_5886076_6253003,0.122780537316956,0.696156582367301,0.196439883766869,0.9519929395692803,0.7665865972554816,1,5886076
Chr01_6253004_6253851,0.137808067248944,0.531054627854217,0.313981272025836,0.9470474196733537,0.8565551415322381,1,6253004
Chr01_6253852_6811196,0.23335855854276,0.567123211108931,0.324335370738572,0.9478756078704754,0.8675971167256801,1,6253852
Chr01_6811197_6811650,0.353589382051296,0.367490479650587,0.136026357249849,0.9353686467996047,0.7044741753471083,1,6811197
Chr01_6811651_7107385,0.284071596001319,0.571982785989967,0.172071827353915,0.9478756078704754,0.7459522318070234,1,6811651
