Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.109291987876154,0.149572632927542,0.788833592211892,0.6651982906032028,0.9810481742049539,1,1
Chr01_126238_809425,0.110516446143225,0.140852857642049,0.791709633230373,0.6651982906032028,0.9810481742049539,1,126238
Chr01_809426_814269,0.360588058379763,0.129114972462417,0.688714787384568,0.6639981785757946,0.9744512531322851,1,809426
Chr01_814270_1367747,0.27742971336893,0.0311777000103677,0.618726005550479,0.5242259066738286,0.9701278832673015,1,814270
Chr01_1367748_1367899,0.795605326588944,0.0120748860626581,0.110236428579464,0.5242259066738286,0.8476788199772802,1,1367748
Chr01_1367900_2042574,0.784435544855281,0.0314315902835196,0.0538651822560967,0.5242259066738286,0.7140698747253966,1,1367900
Chr01_2042575_2043251,0.850411898049648,0.0431332911559697,0.146095215159532,0.531780301922914,0.8715056278878787,1,2042575
Chr01_2043252_2231677,0.912645883777878,0.0609007877552443,0.19957893904018,0.5861826393903223,0.8715056278878787,1,2043252
Chr01_2231678_2231705,0.962300911351925,0.0848367972662263,0.240155980036113,0.6154539411889034,0.8715056278878787,1,2231678
Chr01_2231706_3033846,0.277003484451052,0.0792500591994,0.393401041473624,0.6052658851966469,0.951484108504734,1,2231706
Chr01_3033847_3052413,0.914012555198043,0.0355851749167183,0.505499707125477,0.5242259066738286,0.96719253740312,1,3033847
Chr01_3052414_4229970,0.966435521411942,0.0223539735247631,0.395799509051299,0.5242259066738286,0.952458711620773,1,3052414
Chr01_4229971_4235626,0.796184671274978,0.00377617873607074,0.605233601613774,0.5242259066738286,0.9699758136967277,1,4229971
Chr01_4235627_5264100,0.813234429258754,0.0119928034270767,0.808336957802488,0.5242259066738286,0.9810481742049539,1,4235627
Chr01_5264101_5264149,0.181409776897958,0.0198086345935489,0.971494291387427,0.5242259066738286,0.994704052615113,1,5264101
Chr01_5264150_5885231,0.0778619106374496,0.0467851808185347,0.63777442517716,0.5383350442126345,0.9744512531322851,1,5264150
Chr01_5885232_5886075,0.0978489387759865,0.122399614978927,0.326167872689056,0.6639981785757946,0.8956751239148963,1,5885232
Chr01_5886076_6253003,0.0387873499731303,0.197375191972221,0.167029828902869,0.6915377761719023,0.8715056278878787,1,5886076
Chr01_6253004_6253851,0.0135147919119389,0.19380536236896,0.190546261896512,0.6915377761719023,0.8715056278878787,1,6253004
Chr01_6253852_6811196,0.00926820987324499,0.192162500775585,0.182492159261294,0.6915377761719023,0.8715056278878787,1,6253852
Chr01_6811197_6811650,0.0177228280755341,0.364041897277852,0.372698352251693,0.8539845270935883,0.9416659073228434,1,6811197
Chr01_6811651_7107385,0.0831586010766282,0.524874360100072,0.565997319965514,0.937275643035843,0.9677656948625069,1,6811651
Chr01_7107386_7117068,0.0378867343709286,0.645014270696898,0.228427246352104,0.9627078667117881,0.8715056278878787,1,7107386
Chr01_7117069_8021093,0.29570415428768,0.791601701623124,0.521324331084123,0.9696222542428474,0.96719253740312,1,7117069
Chr01_8021094_8021338,0.888690307807636,0.910893618262578,0.534446702934682,0.9794883654822346,0.9677656948625069,1,8021094
Chr01_8021339_8546533,0.815785789753128,0.61989263327342,0.484306376903522,0.951302437674251,0.9653978527186847,1,8021339
Chr01_8546534_8548055,0.269665495926948,0.484797448283352,0.509237892262756,0.9089952155312849,0.96719253740312,1,8546534
Chr01_8548056_9439189,0.118088159495813,0.589154237704087,0.832575839768919,0.951302437674251,0.981262353210244,1,8548056
Chr01_9439190_9439923,0.126856955483982,0.821520517395553,0.935776922965952,0.9702998236955349,0.9879627366022646,1,9439190
Chr01_9439924_10127710,0.0595268644525712,0.759306728152315,0.803501597223962,0.967838873348288,0.9810481742049539,1,9439924
Chr01_10127711_10127775,0.0512041653731843,0.445982765095081,0.925247048541049,0.9077912690216079,0.9879627366022646,1,10127711
Chr01_10127776_10700451,0.146182367208759,0.583775427454785,0.979677911562812,0.9466628553320837,0.9969277814508445,1,10127776
