Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.138877229820462,0.541989681889492,0.270871559890688,0.9536921025206716,0.8074985410673668,1,1
Chr01_126238_809425,0.145210777264709,0.562321620509783,0.264907965345048,0.9536921025206716,0.8074985410673668,1,126238
Chr01_809426_814269,0.212731604620109,0.56194074474117,0.226756630513692,0.9536921025206716,0.7926512740516115,1,809426
Chr01_814270_1367747,0.204164334151938,0.737259010174436,0.254076659085405,0.9961987350887049,0.8053632786541346,1,814270
Chr01_1367748_1367899,0.0861116046893405,0.646434618698581,0.548205828755657,0.959043376583952,0.9045196613575881,1,1367748
Chr01_1367900_2042574,0.074520712869643,0.692427597079393,0.488394584162392,0.9748651695723034,0.9044692010545837,1,1367900
Chr01_2042575_2043251,0.0724338455838409,0.541797594032069,0.619497292179635,0.9536921025206716,0.9259777822860434,1,2042575
Chr01_2043252_2231677,0.0943949183770606,0.683841754214051,0.818328743844649,0.9733271448921598,0.9718401025455102,1,2043252
Chr01_2231678_2231705,0.0808917985584029,0.452010516280649,0.741360428171541,0.9485082202632502,0.9606104053656548,1,2231678
Chr01_2231706_3033846,0.0747378103811447,0.423339576175397,0.716304097164098,0.9469135434424416,0.9558918189711305,1,2231706
Chr01_3033847_3052413,0.0359730353566166,0.284389365245772,0.540481627846388,0.9413034501600799,0.9045196613575881,1,3033847
Chr01_3052414_4229970,0.110687908421293,0.47628358739115,0.0869265910118257,0.9485082202632502,0.7251768863584502,1,3052414
Chr01_4229971_4235626,0.0918005828708637,0.528300250674123,0.0622182226982363,0.9536921025206716,0.7193867531821796,1,4229971
Chr01_4235627_5264100,0.196297943345553,0.690435611015996,0.0746020863582095,0.9734838849317777,0.7251768863584502,1,4235627
Chr01_5264101_5264149,0.134824795228912,0.63402655397381,0.0399483673610936,0.9539354240943361,0.7193867531821796,1,5264101
Chr01_5264150_5885231,0.108817549169251,0.427457157260469,0.0227628401725668,0.9478214745418778,0.7193867531821796,1,5264150
Chr01_5885232_5886075,0.0935493421877312,0.522869875757593,0.0470895768856337,0.9536921025206716,0.7193867531821796,1,5885232
Chr01_5886076_6253003,0.05775780302771,0.505001065045519,0.142890682714335,0.9536921025206716,0.7473681409391472,1,5886076
Chr01_6253004_6253851,0.065215720005647,0.441618687411205,0.267314696119876,0.9485082202632502,0.8074985410673668,1,6253004
Chr01_6253852_6811196,0.131343849890955,0.483246034394161,0.281549190426402,0.9485082202632502,0.8226375321591473,1,6253852
Chr01_6811197_6811650,0.203551505306192,0.261049628702562,0.110222311750037,0.9413034501600799,0.7359087799710525,1,6811197
Chr01_6811651_7107385,0.145173694372707,0.416350164238421,0.0963628910600527,0.9424980068962389,0.7251768863584502,1,6811651
Chr01_7107386_7117068,0.296635886459881,0.554683811623103,0.0136081807484881,0.9536921025206716,0.7193867531821796,1,7107386
Chr01_7117069_8021093,0.360023367168405,0.610255112289474,0.0119406428473121,0.9539354240943361,0.7193867531821796,1,7117069
Chr01_8021094_8021338,0.485655865728893,0.696844742482724,0.0785470675211936,0.9796518058552748,0.7251768863584502,1,8021094
Chr01_8021339_8546533,0.204193406412071,0.656089767492231,0.156627153129458,0.959043376583952,0.7577683742219913,1,8021339
Chr01_8546534_8548055,0.114600201754821,0.733663472880619,0.251178694911925,0.9961987350887049,0.8040678346644532,1,8546534
Chr01_8548056_9439189,0.036472659517564,0.605995529850645,0.506093406001565,0.9539354240943361,0.9045196613575881,1,8548056
Chr01_9439190_9439923,0.159853779378433,0.827036026967907,0.165097629040318,0.99998791685381,0.7578498826095182,1,9439190
Chr01_9439924_10127710,0.0730147255508038,0.985300845479031,0.266143055333462,0.99998791685381,0.8074985410673668,1,9439924
Chr01_10127711_10127775,0.0691576653058593,0.865063724016096,0.308466036362432,0.99998791685381,0.8301427402407899,1,10127711
Chr01_10127776_10700451,0.0714613459246182,0.562827237113937,0.178096285013932,0.9536921025206716,0.7636772471474845,1,10127776
Chr01_10700452_10700489,0.0453406136203726,0.326569645589278,0.330682514273191,0.9413034501600799,0.8491926966535546,1,10700452
Chr01_10700490_11189458,0.055577903503363,0.456390812735928,0.648555884923019,0.9485082202632502,0.9361338290059682,1,10700490
Chr01_11189459_11289027,0.0404707737318139,0.729371966338845,0.985159208446329,0.9961987350887049,0.9954504762794161,1,11189459
Chr01_11289028_11965532,0.0197262810445327,0.617998439636092,0.686548549219784,0.9539354240943361,0.9493615148749279,1,11289028
Chr01_11965533_11966198,0.0178022774129096,0.368216734151437,0.944707945259244,0.9413034501600799,0.9866456281182956,1,11965533
Chr01_11966199_12330339,0.0574561309050123,0.145640667373049,0.788794607398469,0.9413034501600799,0.9718401025455102,1,11966199
Chr01_12330340_12330527,0.239884818035173,0.0576875028369233,0.812265772700628,0.921810519240138,0.9718401025455102,1,12330340
Chr01_12330528_13051606,0.249441780185879,0.0624399808656808,0.982999357709097,0.921810519240138,0.9954031350934388,1,12330528
Chr01_13051607_13052006,0.116784021229939,0.0976307877405463,0.933721717344349,0.921810519240138,0.9837790085367704,1,13051607
Chr01_13052007_13382483,0.0978708634884616,0.133321796746602,0.980650217976981,0.9413034501600799,0.9954031350934388,1,13052007
Chr01_13382484_13382509,0.0933917615585765,0.0866110517292988,0.940860281862122,0.921810519240138,0.9852071000008585,1,13382484
Chr01_13382510_13576339,0.0357957262270718,0.053798469504694,0.986147200800169,0.921810519240138,0.9954504762794161,1,13382510
Chr01_13576340_13576350,0.0542859968679412,0.101290782647706,0.926514455339706,0.921810519240138,0.9812360691780748,1,13576340
Chr01_13576351_14061355,0.0683926804391756,0.105544958263582,0.804514633850932,0.9324751817232061,0.9718401025455102,1,13576351
Chr01_14061356_14061634,0.0558035918588075,0.16344781753169,0.834735719840416,0.9413034501600799,0.9718401025455102,1,14061356
