Pheno,Marker,Dos_P_adj,Linkage_Class
Blup_Transfo_Circularity_field_y1_y2,Chr09_3897498_4348780,0.04818928394668444,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4348781_4349349,0.04818928394668444,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4349350_4815906,0.04818928394668444,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4815907_4815948,0.04818928394668444,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4815949_4950038,0.04818928394668444,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4950039_4951556,0.04818928394668444,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_4951557_5226408,0.04818928394668444,significant
Blup_Transfo_Circularity_field_y1_y2,Chr09_5226409_5226548,0.04818928394668444,significant
Blup_Transfo_Circularity_field_year2,Chr09_3897498_4348780,0.07376971105042628,suggestive
Blup_Transfo_Circularity_field_year2,Chr09_4348781_4349349,0.07376971105042628,suggestive
Blup_Transfo_Circularity_field_year2,Chr09_4349350_4815906,0.07376971105042628,suggestive
Blup_Transfo_Circularity_field_year2,Chr09_4815907_4815948,0.07376971105042628,suggestive
Blup_Transfo_Circularity_field_year2,Chr09_4815949_4950038,0.07376971105042628,suggestive
Blup_Transfo_Circularity_field_year2,Chr09_4950039_4951556,0.07376971105042628,suggestive
Blup_Transfo_Circularity_field_year2,Chr09_4951557_5226408,0.07376971105042628,suggestive
Blup_Transfo_Circularity_field_year2,Chr09_5226409_5226548,0.07376971105042628,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_8021339_8546533,0.051584418284483374,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_10127776_10700451,0.0809082112467664,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_11189459_11289027,0.06064874026310138,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_11289028_11965532,0.042568342311202795,significant
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_11965533_11966198,0.042568342311202795,significant
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_11966199_12330339,0.0514410180190659,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_12330340_12330527,0.051584418284483374,suggestive
Blup_Transfo_Horiz_size_25perc_field_y1_y2,Chr01_12330528_13051606,0.055664874229217856,suggestive
