Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.495040182765357,0.440435698599417,0.62716319713191,0.750924332334999,0.514819161117202,0.9604496531512595,0.999827426528944,0.8412610941196605,0.995328651492764,1,1
Chr01_126238_809425,0.446264756372705,0.441674143115538,0.620343172964194,0.708334075183924,0.507989867382565,0.9604496531512595,0.999827426528944,0.8134281302849333,0.995328651492764,1,126238
Chr01_809426_814269,0.41746499656615,0.517376973544797,0.542428450229147,0.546454552832916,0.441206085558973,0.9604496531512595,0.999827426528944,0.7936422091765889,0.9859134176997995,1,809426
Chr01_814270_1367747,0.399358277149595,0.408887256270475,0.766700547315452,0.539108633837917,0.624172133307379,0.9604496531512595,0.999827426528944,0.7936422091765889,0.995328651492764,1,814270
Chr01_1367748_1367899,0.441097926381143,0.351037688153816,0.849411961970874,0.632519063294311,0.708497398058059,0.9604496531512595,0.999827426528944,0.80781720369302,0.995328651492764,1,1367748
Chr01_1367900_2042574,0.424050973907174,0.279976107845274,0.841623474449319,0.641475558654875,0.713674912922186,0.9604496531512595,0.999827426528944,0.8080291492686088,0.995328651492764,1,1367900
Chr01_2042575_2043251,0.417068781008529,0.263806843171534,0.742608619404646,0.580702519187557,0.632929224652799,0.9604496531512595,0.999827426528944,0.7936422091765889,0.995328651492764,1,2042575
Chr01_2043252_2231677,0.445285423244849,0.40831465199239,0.679799011070958,0.634823983013133,0.62146712724809,0.9604496531512595,0.999827426528944,0.8080291492686088,0.995328651492764,1,2043252
Chr01_2231678_2231705,0.482202121534212,0.682594291006098,0.718416217632652,0.674978852757491,0.649084585188495,0.9604496531512595,0.999827426528944,0.8118361375195878,0.995328651492764,1,2231678
Chr01_2231706_3033846,0.484042064261839,0.717225887997831,0.734609526852452,0.685063480959441,0.660453827063896,0.9604496531512595,0.999827426528944,0.8118361375195878,0.995328651492764,1,2231706
Chr01_3033847_3052413,0.485785094997302,0.763273184994091,0.756420246104591,0.661388681158552,0.651320180395146,0.960598730504479,0.999827426528944,0.8118361375195878,0.995328651492764,1,3033847
Chr01_3052414_4229970,0.203562197145022,0.807171313161559,0.536978836234993,0.295074575113554,0.429940784768508,0.960598730504479,0.999827426528944,0.7716663633374402,0.9859134176997995,1,3052414
Chr01_4229971_4235626,0.200765878122401,0.661940922903258,0.631988140735458,0.277895239133714,0.575761515813504,0.9604496531512595,0.999827426528944,0.7574339749559156,0.995328651492764,1,4229971
Chr01_4235627_5264100,0.194101278170249,0.531121005099101,0.776056430608851,0.344353513626518,0.690142375626381,0.9604496531512595,0.999827426528944,0.7936422091765889,0.995328651492764,1,4235627
Chr01_5264101_5264149,0.369757606912883,0.569508211331333,0.760852945522343,0.510019174172292,0.697325800707492,0.9604496531512595,0.999827426528944,0.7936422091765889,0.995328651492764,1,5264101
Chr01_5264150_5885231,0.39836002550618,0.937643056813019,0.772415521388336,0.500921824189979,0.672428871827041,0.9806824102405018,0.999827426528944,0.7936422091765889,0.995328651492764,1,5264150
Chr01_5885232_5886075,0.463400159604637,0.706304198346791,0.400179954366877,0.575298398639452,"NA",0.9604496531512595,0.999827426528944,0.7936422091765889,NA,1,5885232
Chr01_5886076_6253003,0.457017667037896,0.717350726784467,0.556363789449618,0.583912567441073,"NA",0.9604496531512595,0.999827426528944,0.7936422091765889,NA,1,5886076
Chr01_6253004_6253851,0.470469430261965,0.71225930978152,0.666305612543512,0.631445617833286,"NA",0.9604496531512595,0.999827426528944,0.80781720369302,NA,1,6253004
Chr01_6253852_6811196,0.483710775212924,0.579913484337153,0.536326600550284,0.643754598283837,"NA",0.9604496531512595,0.999827426528944,0.8081576707895396,NA,1,6253852
Chr01_6811197_6811650,0.476951505149601,0.699508786938012,0.658756077413465,0.602665223802984,"NA",0.9604496531512595,0.999827426528944,0.7978446240505436,NA,1,6811197
Chr01_6811651_7107385,0.46570212149019,0.638418530179437,0.677705283876231,0.551815907299117,"NA",0.9604496531512595,0.999827426528944,0.7936422091765889,NA,1,6811651
Chr01_7107386_7117068,0.4685607424401,0.641492993941032,0.187265509250499,0.457792228164607,"NA",0.9604496531512595,0.999827426528944,0.7936422091765889,NA,1,7107386
Chr01_7117069_8021093,0.635971207065541,0.415883096689019,0.320919371018861,0.627619806643693,"NA",0.9604496531512595,0.999827426528944,0.8067445127051143,NA,1,7117069
Chr01_8021094_8021338,0.132209560790293,0.65611179191916,0.788573376788959,0.13069546832466,"NA",0.9604496531512595,0.999827426528944,0.5690395461720995,NA,1,8021094
Chr01_8021339_8546533,0.13337497820836,0.396907719790328,0.659691577422185,0.165445775864954,"NA",0.9604496531512595,0.999827426528944,0.6360601713445864,NA,1,8021339
Chr01_8546534_8548055,0.139398201109282,0.41965435536871,0.735717493987412,0.230497678474885,"NA",0.9604496531512595,0.999827426528944,0.7377637456000902,NA,1,8546534
Chr01_8548056_9439189,0.137313586875694,0.64842525746857,0.804723790474349,0.217281719499084,"NA",0.9604496531512595,0.999827426528944,0.716789141078159,NA,1,8548056
Chr01_9439190_9439923,0.0941635521025292,0.57649463081853,0.897693814058628,0.151641194523838,"NA",0.9604496531512595,0.999827426528944,0.6079247888085703,NA,1,9439190
Chr01_9439924_10127710,0.241433238839553,0.858573638487444,0.941573940537698,0.285920854859924,"NA",0.9652307848965695,0.999827426528944,0.7699194103758196,NA,1,9439924
Chr01_10127711_10127775,0.242568773176218,0.817149686185444,0.681146557545666,0.271235528559444,"NA",0.960598730504479,0.999827426528944,0.752363231098002,NA,1,10127711
Chr01_10127776_10700451,0.231814229378127,0.686530112078109,0.709517655218842,0.227292448003814,"NA",0.9604496531512595,0.999827426528944,0.7371168917756316,NA,1,10127776
Chr01_10700452_10700489,0.158293015187756,0.539718813163528,0.835127858370849,0.174471239980078,"NA",0.9604496531512595,0.999827426528944,0.6445342501743377,NA,1,10700452
Chr01_10700490_11189458,0.15695297361569,0.37644314058746,0.876156075888586,0.176877480323859,"NA",0.9604496531512595,0.999827426528944,0.6480674893833195,NA,1,10700490
Chr01_11189459_11289027,0.817912470715567,0.300975174961742,0.816423288089733,0.874565998857313,"NA",0.9604496531512595,0.999827426528944,0.9307880987838546,NA,1,11189459
Chr01_11289028_11965532,0.750205607733786,0.194325217870858,0.835631376994302,0.818147503107649,"NA",0.9604496531512595,0.999827426528944,0.8930694356266644,NA,1,11289028
Chr01_11965533_11966198,0.77652637159389,0.14836803801699,0.755351356823432,0.882611272247751,"NA",0.9604496531512595,0.999827426528944,0.9347402454096263,NA,1,11965533
Chr01_11966199_12330339,0.777749454264475,0.135874916357594,0.630930171052237,0.868446624906043,"NA",0.9604496531512595,0.999827426528944,0.9277926576397074,NA,1,11966199
Chr01_12330340_12330527,0.802375898693403,0.09514319362438,0.83354289445966,0.907304853328464,"NA",0.9604496531512595,0.999827426528944,0.9485888474936741,NA,1,12330340
Chr01_12330528_13051606,0.79067670357914,0.11523131616258,0.863305875268063,0.883507278938629,"NA",0.9604496531512595,0.999827426528944,0.9347402454096263,NA,1,12330528
Chr01_13051607_13052006,0.852721579710186,0.137487598655776,0.693993642351301,0.914634884272424,"NA",0.9604496531512595,0.999827426528944,0.9485888474936741,NA,1,13051607
Chr01_13052007_13382483,0.852354139957998,0.108561800570674,0.977672892799005,0.926102291720207,"NA",0.9604496531512595,0.999827426528944,0.949187660142322,NA,1,13052007
Chr01_13382484_13382509,0.863351844012321,0.0859591508848424,0.804030586168645,0.934019303798155,"NA",0.9604496531512595,0.999827426528944,0.9521245810667622,NA,1,13382484
Chr01_13382510_13576339,0.874469419894406,0.0491531369019698,0.865317846912744,0.979176210702785,"NA",0.9604496531512595,0.999827426528944,0.9835770026609998,NA,1,13382510
Chr01_13576340_13576350,0.850376591965833,0.124362597713859,0.63103312094689,0.943088618342871,"NA",0.9604496531512595,0.999827426528944,0.9580923009074167,NA,1,13576340
Chr01_13576351_14061355,0.833078998060084,0.198873545343318,0.582143949497346,0.924762380546525,"NA",0.9604496531512595,0.999827426528944,0.949187660142322,NA,1,13576351
Chr01_14061356_14061634,0.872156172735851,0.0990622629158789,0.596123809111939,0.966722178013352,"NA",0.9604496531512595,0.999827426528944,0.9754510464378519,NA,1,14061356
Chr01_14061635_14604721,0.851361337381952,0.137878114368513,0.850059235316809,0.896812250758825,"NA",0.9604496531512595,0.999827426528944,0.9454600851160254,NA,1,14061635
Chr01_14604722_14607157,0.799154956502777,0.410562921273084,0.800777165986774,0.844012216933165,"NA",0.9604496531512595,0.999827426528944,0.907998702693441,NA,1,14604722
Chr01_14607158_15449572,0.7936913425236,0.404928763852315,0.679255387037972,0.84043052416455,"NA",0.9604496531512595,0.999827426528944,0.9063267655043518,NA,1,14607158
Chr01_15449573_15456448,0.812701091774755,0.273235431535022,0.99180878894125,0.874530018210793,"NA",0.9604496531512595,0.999827426528944,0.9307880987838546,NA,1,15449573
Chr01_15456449_16406535,0.416994682677797,0.59199781923013,0.987428566906701,0.522315339270976,"NA",0.9604496531512595,0.999827426528944,0.7936422091765889,NA,1,15456449
Chr01_16406536_16454790,0.381437141308663,0.906464103394373,0.86545854433933,0.475060586184282,"NA",0.9751103870406683,0.999827426528944,0.7936422091765889,NA,1,16406536
Chr01_16454791_19216253,0.320677598801188,0.743651200279528,0.86160726024989,0.388529645697025,"NA",0.960598730504479,0.999827426528944,0.7936422091765889,NA,1,16454791
Chr01_19216254_19216663,0.560423141130035,0.736157774432493,0.961007710196177,"NA","NA",0.960598730504479,0.999827426528944,NA,NA,1,19216254
Chr01_19216664_20661429,0.433238357125618,0.569032003278616,0.683211915063869,"NA","NA",0.9604496531512595,0.999827426528944,NA,NA,1,19216664
Chr01_20661430_20662913,0.209129983742212,0.719923779981983,0.994369015466694,0.252820829129696,"NA",0.9604496531512595,0.999827426528944,0.7434928330327244,NA,1,20661430
Chr01_20662914_21251875,0.208141446839202,0.86371797122459,0.935447291719735,0.251010972532597,"NA",0.9665116405392036,0.999827426528944,0.7434928330327244,NA,1,20662914
Chr01_21251876_21488109,0.237076451169166,0.781107811855269,0.861419277175524,0.261061900195812,"NA",0.960598730504479,0.999827426528944,0.752363231098002,NA,1,21251876
Chr01_21488110_22523058,0.253137127195466,0.560899284669653,0.680321469601078,0.26946360218472,"NA",0.9604496531512595,0.999827426528944,0.752363231098002,NA,1,21488110
Chr01_22523059_22523376,0.193635434675148,0.647063906782798,0.398994590467554,0.246133154706642,"NA",0.9604496531512595,0.999827426528944,0.7434928330327244,NA,1,22523059
Chr01_22523377_25610270,0.182565418239814,0.857673851418574,0.52395444471733,0.200778272237246,"NA",0.9652307848965695,0.999827426528944,0.69303388177644,NA,1,22523377
Chr01_25610271_25623774,0.360149890991076,0.954891132930433,0.296731691481968,"NA","NA",0.9885077192223647,0.999827426528944,NA,NA,1,25610271
Chr01_25623775_25991881,0.44858120338478,0.577858621746779,0.101406559889845,"NA","NA",0.9604496531512595,0.999827426528944,NA,NA,1,25623775
Chr01_25991882_26001088,0.375032007508323,0.439105600994095,0.0396959968700453,"NA","NA",0.9604496531512595,0.8820547270870969,NA,NA,1,25991882
Chr01_26001089_26286066,0.248769866780083,0.297499205669134,0.0354110423610483,"NA","NA",0.9604496531512595,0.8820547270870969,NA,NA,1,26001089
Chr01_26286067_26293474,0.256107121433626,0.213710770657136,0.0374484568574997,"NA","NA",0.9604496531512595,0.8820547270870969,NA,NA,1,26286067
Chr01_26293475_26583692,0.396859983387198,0.2133092511376,0.0360782977347508,"NA","NA",0.9604496531512595,0.8820547270870969,NA,NA,1,26293475
Chr01_26583693_26647317,0.614674144113267,0.207216287883119,0.0868853778246982,"NA","NA",0.9604496531512595,0.999827426528944,NA,NA,1,26583693
Chr01_26647318_27308826,0.227247639612189,0.334011626649033,0.16850922341619,0.235836339145166,"NA",0.9604496531512595,0.999827426528944,0.7387533058746815,NA,1,26647318
Chr01_27308827_27314420,0.198617903096555,0.18735558670172,0.445060123347357,0.222948906044989,"NA",0.9604496531512595,0.999827426528944,0.7287229908519339,NA,1,27308827
Chr01_27314421_27701084,0.195768541880547,0.136327045939972,0.580873985285874,0.23633495020152,"NA",0.9604496531512595,0.999827426528944,0.7387533058746815,NA,1,27314421
Chr01_27701085_27712150,0.215468912956082,0.320650830196445,0.461807789095691,0.266523532806975,"NA",0.9604496531512595,0.999827426528944,0.752363231098002,NA,1,27701085
Chr01_27712151_27987745,0.229261557862663,0.511797835176602,0.628657277400283,0.274158590502719,"NA",0.9604496531512595,0.999827426528944,0.754147015105941,NA,1,27712151
Chr01_27987746_27996902,0.230775224522955,0.607911695602612,0.606808141119983,0.268970248673887,"NA",0.9604496531512595,0.999827426528944,0.752363231098002,NA,1,27987746
Chr01_27996903_28327995,0.242945453967204,0.507438674486497,0.851005876524068,0.296064387723425,"NA",0.9604496531512595,0.999827426528944,0.7716663633374402,NA,1,27996903
Chr01_28327996_28328780,0.233305083219538,0.491329671413853,0.686239040676033,0.252494605234032,"NA",0.9604496531512595,0.999827426528944,0.7434928330327244,NA,1,28327996
Chr01_28328781_28712697,0.223198870175076,0.461353220172002,0.943766989651135,0.251093301788567,"NA",0.9604496531512595,0.999827426528944,0.7434928330327244,NA,1,28328781
Chr01_28712698_28712702,0.212737097563668,0.28306043721511,0.916755126326688,0.238046167384449,"NA",0.9604496531512595,0.999827426528944,0.7411685276329942,NA,1,28712698
Chr01_28712703_29260469,0.218600440528706,0.235060525431054,0.765619884220918,0.251581526044875,"NA",0.9604496531512595,0.999827426528944,0.7434928330327244,NA,1,28712703
Chr01_29260470_29264772,0.230436236001533,0.367280830272154,0.668069222262266,0.277563130283732,"NA",0.9604496531512595,0.999827426528944,0.7574339749559156,NA,1,29260470
Chr01_29264773_29827856,0.241085380112269,0.5118535102853,0.194000471914621,0.284851641719313,0.186283839876566,0.9604496531512595,0.999827426528944,0.7693576063355463,0.8714557147854826,1,29264773
Chr01_29827857_29864780,0.226314273263893,0.513492273924293,0.205920624189115,0.297898856396086,0.200182015830435,0.9604496531512595,0.999827426528944,0.7727593885084666,0.8714557147854826,1,29827857
Chr01_29864781_30461232,0.22269981475756,0.316241110767871,0.688195144522041,0.288858389218061,"NA",0.9604496531512595,0.999827426528944,0.7716663633374402,NA,1,29864781
Chr01_30461233_30463952,0.234233844745403,0.510924411999321,0.818455002350541,0.303708054647745,"NA",0.9604496531512595,0.999827426528944,0.7735470109831453,NA,1,30461233
Chr01_30463953_31287140,0.265659311267424,0.876273791036598,0.982741362150253,0.308081231889586,0.989567047128053,0.9665116405392036,0.999827426528944,0.7737820173905302,0.995328651492764,1,30463953
Chr01_31287141_31299042,0.268598618451739,0.980883865950421,0.974617765159882,0.301051224797159,0.973415572825591,0.9930494871367006,0.999827426528944,0.7735470109831453,0.995328651492764,1,31287141
Chr01_31299043_32249075,0.136928448123777,0.993224659371324,0.976745719099204,0.164189147296032,0.955985803389767,0.9968890979818125,0.999827426528944,0.6354333233015265,0.995328651492764,1,31299043
Chr01_32249076_32254238,0.113795697044826,0.897221617293838,0.818776869253349,0.154236838568568,0.856806848515025,0.9746146474964228,0.999827426528944,0.6104345554831854,0.995328651492764,1,32249076
Chr01_32254239_32925441,0.088173706601371,0.528509713052037,0.849294978361536,0.107530735372443,0.934234296127601,0.9604496531512595,0.999827426528944,0.5224591164291524,0.995328651492764,1,32254239
Chr01_32925442_32925676,0.094261199454016,0.564504737564261,0.833307642455477,0.122785504298398,0.907785867421689,0.9604496531512595,0.999827426528944,0.5658067798613263,0.995328651492764,1,32925442
Chr01_32925677_33648211,0.126091441124115,0.997249795736745,0.789410590816563,0.146080354701915,0.872392850827413,0.997249795736745,0.999827426528944,0.5937429876122177,0.995328651492764,1,32925677
Chr01_33648212_33648861,0.145134068055542,0.66366129312155,0.699405758042191,0.18903109026617,0.768777488967671,0.9604496531512595,0.999827426528944,0.6674267593925659,0.995328651492764,1,33648212
Chr01_33648862_33944256,0.137690195156385,0.764254594090877,0.730741663842676,0.16944715182853,0.807561053140826,0.960598730504479,0.999827426528944,0.6363634195080081,0.995328651492764,1,33648862
Chr01_33944257_33944395,0.129974199231716,0.949620879819903,0.735901414195531,0.170120897130714,0.809148388598455,0.9867396112786614,0.999827426528944,0.6363634195080081,0.995328651492764,1,33944257
Chr01_33944396_34707623,0.014348837450053,0.688739200468973,0.960869312835663,0.0215585481263072,0.902739530165047,0.9604496531512595,0.999827426528944,0.29790346301926346,0.995328651492764,1,33944396
