Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.143068771564883,0.575880355830153,0.153300426531093,0.9157300389774059,0.7598894133083763,1,1
Chr01_126238_809425,0.137336977177237,0.566918541068071,0.151855024262151,0.9137719582245064,0.7598894133083763,1,126238
Chr01_809426_814269,0.297549271543477,0.649671667997244,0.0578269825018779,0.9374938030142305,0.7598894133083763,1,809426
Chr01_814270_1367747,0.307390217414035,0.81976548383238,0.0728042396203477,0.9650881017524454,0.7598894133083763,1,814270
Chr01_1367748_1367899,0.333471073457362,0.687447847137759,0.0738087450503862,0.9374938030142305,0.7598894133083763,1,1367748
Chr01_1367900_2042574,0.309202805654103,0.8530533996923,0.0405699432448884,0.9710288698625117,0.7598894133083763,1,1367900
Chr01_2042575_2043251,0.386407397767783,0.84788853757006,0.0526605263253973,0.9685844148042322,0.7598894133083763,1,2042575
Chr01_2043252_2231677,0.277331353646178,0.636751331752141,0.152354406752713,0.9374938030142305,0.7598894133083763,1,2043252
Chr01_2231678_2231705,0.257553644797858,0.549379839361642,0.105380814857349,0.9137719582245064,0.7598894133083763,1,2231678
Chr01_2231706_3033846,0.253345623806441,0.543192227420526,0.10224293469968,0.9137719582245064,0.7598894133083763,1,2231706
Chr01_3033847_3052413,0.131486820737538,0.379747007559962,0.0792948414833618,0.8830779015444195,0.7598894133083763,1,3033847
Chr01_3052414_4229970,0.156117626884639,0.416923244573204,0.0174093093813465,0.8974790126002442,0.752242726395046,1,3052414
Chr01_4229971_4235626,0.146260037301068,0.576253793998243,0.0222351602435171,0.9157300389774059,0.752242726395046,1,4229971
Chr01_4235627_5264100,0.270901032579275,0.796961881956867,0.0548881010445369,0.9605561313993292,0.7598894133083763,1,4235627
Chr01_5264101_5264149,0.109540766587766,0.885249578225311,0.0264477575926516,0.9730339543346481,0.752242726395046,1,5264101
Chr01_5264150_5885231,0.0923360161163079,0.702475722376739,0.0165805429058757,0.9409734336690063,0.752242726395046,1,5264150
Chr01_5885232_5886075,0.108598912092423,0.486647089529055,0.0600491720753278,0.9137719582245064,0.7598894133083763,1,5885232
Chr01_5886076_6253003,0.114344363716521,0.57312494022428,0.142475283995159,0.9152890836417605,0.7598894133083763,1,5886076
Chr01_6253004_6253851,0.0928690876780052,0.510154421259344,0.319315516182168,0.9137719582245064,0.8522932026925983,1,6253004
Chr01_6253852_6811196,0.10898214193533,0.647809051785515,0.418589837575959,0.9374938030142305,0.8854209887024136,1,6253852
Chr01_6811197_6811650,0.156666011724791,0.442111308328234,0.228607863399418,0.9018214386398152,0.8124351623317208,1,6811197
Chr01_6811651_7107385,0.202960775425172,0.599323014318477,0.131880833697171,0.9204138556156264,0.7598894133083763,1,6811651
Chr01_7107386_7117068,0.437991507306296,0.981438584250185,0.0439133823070194,0.996794542637674,0.7598894133083763,1,7107386
Chr01_7117069_8021093,0.604095124855167,0.68787828728816,0.0448725483988318,0.9374938030142305,0.7598894133083763,1,7117069
Chr01_8021094_8021338,0.646664789279755,0.695610179721311,0.240340295638297,0.9374938030142305,0.8182696071789022,1,8021094
Chr01_8021339_8546533,0.195004362630465,0.726830836723968,0.444666150192871,0.9464253379430504,0.8859193763270568,1,8021339
Chr01_8546534_8548055,0.0509527647263864,0.408258878976479,0.703273609287609,0.8950257898393904,0.9606663259334423,1,8546534
Chr01_8548056_9439189,0.0319598431980249,0.284937600063483,0.818011746745004,0.836015173189655,0.9728062505887956,1,8548056
Chr01_9439190_9439923,0.116809894839478,0.272267178975366,0.293735000670911,0.819299866542282,0.8398080442871507,1,9439190
Chr01_9439924_10127710,0.143716743857316,0.25433443566516,0.477013493019956,0.819299866542282,0.8929946936882129,1,9439924
Chr01_10127711_10127775,0.167782058782458,0.24877928999966,0.676554870598759,0.819299866542282,0.951748542600261,1,10127711
Chr01_10127776_10700451,0.211492138992099,0.0802163908210008,0.535030629758623,0.809897799716235,0.902337121641951,1,10127776
Chr01_10700452_10700489,0.108672952327182,0.131320230423207,0.5840034076079,0.813569283464066,0.9291613600216149,1,10700452
Chr01_10700490_11189458,0.0966088309111532,0.0967602884969186,0.849209165442188,0.809897799716235,0.9728062505887956,1,10700490
Chr01_11189459_11289027,0.121168362433012,0.0996855060071849,0.946242449157606,0.809897799716235,0.9836255586976304,1,11189459
Chr01_11289028_11965532,0.0986529689643609,0.11093304641279,0.748698950248377,0.813569283464066,0.9728062505887956,1,11289028
Chr01_11965533_11966198,0.136308593168344,0.0866508946243634,0.829409858103074,0.809897799716235,0.9728062505887956,1,11965533
Chr01_11966199_12330339,0.0859999738392865,0.0358536844788493,0.990153711966062,0.6905419630626375,0.997841646857269,1,11966199
Chr01_12330340_12330527,0.178848546615905,0.0214647885308569,0.912558371085719,0.5586646312220322,0.9836255586976304,1,12330340
Chr01_12330528_13051606,0.148589474752267,0.0166180476619836,0.895137821449258,0.5334393299496736,0.9802145616633422,1,12330528
Chr01_13051607_13052006,0.136270314372196,0.0180221635080511,0.820443662053051,0.5586646312220322,0.9728062505887956,1,13051607
Chr01_13052007_13382483,0.110864588895293,0.032175330492894,0.978241217503911,0.6735835492316722,0.9920344243527808,1,13052007
Chr01_13382484_13382509,0.121303164638167,0.0207496393097979,0.950937910731611,0.5586646312220322,0.9836255586976304,1,13382484
Chr01_13382510_13576339,0.0461061648640072,0.0139587521897686,0.957571921705446,0.4897641282288159,0.9836255586976304,1,13382510
Chr01_13576340_13576350,0.0774076448008623,0.0433113959605254,0.854031046688339,0.7528232963145549,0.9728062505887956,1,13576340
Chr01_13576351_14061355,0.0842945142379258,0.0456729316034644,0.798978252103876,0.7528232963145549,0.9728062505887956,1,13576351
Chr01_14061356_14061634,0.0607665637185547,0.0419756494093358,0.921933624302776,0.7528232963145549,0.9836255586976304,1,14061356
Chr01_14061635_14604721,0.107512904004828,0.0495602619535642,0.742258840157711,0.7528232963145549,0.9728062505887956,1,14061635
Chr01_14604722_14607157,0.148708584035181,0.270271251185913,0.554733500006817,0.819299866542282,0.9179487542882443,1,14604722
Chr01_14607158_15449572,0.190681478831716,0.267028008504507,0.274100099700422,0.819299866542282,0.835007628049472,1,14607158
Chr01_15449573_15456448,0.0385764565823377,0.340449371272144,0.304267897132489,0.8581310212046186,0.8468496674525633,1,15449573
