Marker,Intercept,Deltoides,Del_P_adj,CHR,BP
Chr01_1_126237,0.101710963398428,0.761942152163158,0.9372476087662497,1,1
Chr01_126238_809425,0.101710963398428,0.761942152163158,0.9372476087662497,1,126238
Chr01_809426_814269,0.101710963398428,0.761942152163158,0.9372476087662497,1,809426
Chr01_814270_1367747,0.101710963398428,0.761942152163158,0.9372476087662497,1,814270
Chr01_1367748_1367899,0.101710963398428,0.761942152163158,0.9372476087662497,1,1367748
Chr01_1367900_2042574,0.101710963398428,0.761942152163158,0.9372476087662497,1,1367900
Chr01_2042575_2043251,0.101710963398428,0.761942152163158,0.9372476087662497,1,2042575
Chr01_2043252_2231677,0.101710963398428,0.761942152163158,0.9372476087662497,1,2043252
Chr01_2231678_2231705,0.101710963398428,0.761942152163158,0.9372476087662497,1,2231678
Chr01_2231706_3033846,0.101710963398428,0.761942152163158,0.9372476087662497,1,2231706
Chr01_3033847_3052413,0.101710963398428,0.761942152163158,0.9372476087662497,1,3033847
Chr01_3052414_4229970,0.101710963398428,0.761942152163158,0.9372476087662497,1,3052414
Chr01_4229971_4235626,0.101710963398428,0.761942152163158,0.9372476087662497,1,4229971
Chr01_4235627_5264100,0.116225141401034,0.679869667847586,0.9372476087662497,1,4235627
Chr01_5264101_5264149,0.04269537440115,0.585422057262473,0.9341174722066765,1,5264101
Chr01_5264150_5885231,0.0526459512974883,0.595770290816119,0.9341174722066765,1,5264150
Chr01_5885232_5886075,0.055507333099899,0.692606716495348,0.9372476087662497,1,5885232
Chr01_5886076_6253003,0.0552524771965603,0.824582857289179,0.9444646733540191,1,5886076
Chr01_6253004_6253851,0.0548391222749105,0.83352738082639,0.9444646733540191,1,6253004
Chr01_6253852_6811196,0.0713438499809046,0.661263113414798,0.9372476087662497,1,6253852
Chr01_6811197_6811650,0.0730025532361329,0.799186721869004,0.9444646733540191,1,6811197
Chr01_6811651_7107385,0.0718158327208436,0.787313867297609,0.9444646733540191,1,6811651
Chr01_7107386_7117068,0.0554014140604417,0.622970844163338,0.9341174722066765,1,7107386
Chr01_7117069_8021093,0.186891212894254,0.759767925072072,0.9372476087662497,1,7117069
Chr01_8021094_8021338,0.150532029524136,0.677691208116194,0.9372476087662497,1,8021094
Chr01_8021339_8546533,0.150532029524136,0.677691208116194,0.9372476087662497,1,8021339
Chr01_8546534_8548055,0.052266828889561,0.53713607978859,0.9341174722066765,1,8546534
Chr01_8548056_9439189,0.0172238761689213,0.468387716074908,0.9337304609691421,1,8548056
Chr01_9439190_9439923,0.0576355763972628,0.848735234153037,0.9444646733540191,1,9439190
Chr01_9439924_10127710,0.061158151735728,0.822582522123859,0.9444646733540191,1,9439924
Chr01_10127711_10127775,0.061158151735728,0.822582522123859,0.9444646733540191,1,10127711
Chr01_10127776_10700451,0.0695252304478293,0.798399861826772,0.9444646733540191,1,10127776
Chr01_10700452_10700489,0.0698536096445113,0.772263441749968,0.9377316824819105,1,10700452
Chr01_10700490_11189458,0.0662824466535309,0.694767226916816,0.9372476087662497,1,10700490
Chr01_11189459_11289027,0.0694325768651471,0.774592961631346,0.9377316824819105,1,11189459
Chr01_11289028_11965532,0.0314549716220544,0.575876753612252,0.9341174722066765,1,11289028
Chr01_11965533_11966198,0.0294499019133632,0.428998819176138,0.9337304609691421,1,11965533
Chr01_11966199_12330339,0.101645659293135,0.404850811669671,0.9337304609691421,1,11966199
Chr01_12330340_12330527,0.212118878377496,0.248343651212344,0.9337304609691421,1,12330340
Chr01_12330528_13051606,0.179102810646448,0.142828402870645,0.9337304609691421,1,12330528
Chr01_13051607_13052006,0.0495688480787298,0.177452444223773,0.9337304609691421,1,13051607
Chr01_13052007_13382483,0.0601026040884228,0.230965520149708,0.9337304609691421,1,13052007
Chr01_13382484_13382509,0.0641119079838143,0.162397517965657,0.9337304609691421,1,13382484
Chr01_13382510_13576339,0.0451121928951902,0.130010295902434,0.9337304609691421,1,13382510
Chr01_13576340_13576350,0.0562235461181402,0.158564871722496,0.9337304609691421,1,13576340
Chr01_13576351_14061355,0.0768207237112448,0.240273996265878,0.9337304609691421,1,13576351
Chr01_14061356_14061634,0.102265462178324,0.290854652381234,0.9337304609691421,1,14061356
Chr01_14061635_14604721,0.128108129274964,0.403281300319679,0.9337304609691421,1,14061635
Chr01_14604722_14607157,0.0849013407046335,0.673171720892656,0.9372476087662497,1,14604722
Chr01_14607158_15449572,0.0724838244655106,0.796033279052584,0.9444646733540191,1,14607158
Chr01_15449573_15456448,0.0492491307998412,0.911243761714555,0.9798430111919428,1,15449573
Chr01_15456449_16406535,0.0413249978832221,0.984738450491345,0.9948095507449962,1,15456449
Chr01_16406536_16454790,0.0547579068998069,0.830575261260595,0.9444646733540191,1,16406536
Chr01_16454791_19216253,0.0281007317937396,0.645415878793187,0.9341174722066765,1,16454791
Chr01_19216254_19216663,0.0281007317937396,0.645415878793187,0.9341174722066765,1,19216254
Chr01_19216664_20661429,0.0301025904391735,0.820340536734324,0.9444646733540191,1,19216664
Chr01_20661430_20662913,0.0440565790085043,0.616136753116818,0.9341174722066765,1,20661430
