Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.113477119267384,0.756730443450676,0.459708893730914,0.9754824412824892,0.9347810290215274,1,1
Chr01_126238_809425,0.12110793118923,0.789294118150659,0.451012126836389,0.9759704715842086,0.9347810290215274,1,126238
Chr01_809426_814269,0.192738365420634,0.758708565441936,0.372721970645821,0.9754824412824892,0.9223860240088234,1,809426
Chr01_814270_1367747,0.166114391118287,0.999562688305868,0.373532329784181,0.999562688305868,0.9223860240088234,1,814270
Chr01_1367748_1367899,0.07771423635567,0.472666279366781,0.676174875194829,0.9259796799383962,0.9418100582687015,1,1367748
Chr01_1367900_2042574,0.0680524932720822,0.504452327887104,0.617781750994768,0.9360069205304069,0.9347810290215274,1,1367900
Chr01_2042575_2043251,0.0640613295988084,0.377148930143252,0.784952879522627,0.9152853199126966,0.9616930663407588,1,2042575
Chr01_2043252_2231677,0.074689919133751,0.948835218043627,0.687877745480045,0.9913760063279264,0.9449732794540419,1,2043252
Chr01_2231678_2231705,0.0518034884598579,0.659801044597271,0.86532893656236,0.961739149270109,0.9759006334836972,1,2231678
Chr01_2231706_3033846,0.0476570611900486,0.6293185201923,0.842041099038828,0.9582897761021747,0.9759006334836972,1,2231706
Chr01_3033847_3052413,0.0149868038925114,0.508750793515268,0.74039040602738,0.9370750540237867,0.9616930663407588,1,3033847
Chr01_3052414_4229970,0.0878151183910671,0.802776250550398,0.117258619742696,0.9759704715842086,0.7132631821359611,1,3052414
Chr01_4229971_4235626,0.0769442080135515,0.841250651491914,0.0874755235463006,0.9803223762935233,0.6929782108929682,1,4229971
Chr01_4235627_5264100,0.167930580729297,0.934513553178082,0.0889266605622607,0.9913760063279264,0.6929782108929682,1,4235627
Chr01_5264101_5264149,0.130969247755054,0.821211459987315,0.0583556973147468,0.9803223762935233,0.6929782108929682,1,5264101
Chr01_5264150_5885231,0.0984892830618037,0.615397532786633,0.0436517656579264,0.9563724050649335,0.6929782108929682,1,5264150
Chr01_5885232_5886075,0.0889878834308383,0.736185230599472,0.0886720565576621,0.967716350664382,0.6929782108929682,1,5885232
Chr01_5886076_6253003,0.0492787678520328,0.695589883678166,0.257873791201373,0.961739149270109,0.83359649489321,1,5886076
Chr01_6253004_6253851,0.0583482528480506,0.597442985620947,0.388185870401652,0.9563724050649335,0.9223860240088234,1,6253004
Chr01_6253852_6811196,0.106139560817319,0.643960769693922,0.408513514405216,0.9603293273869149,0.9229800592345253,1,6253852
Chr01_6811197_6811650,0.175020044420358,0.390402143077758,0.175236903779415,0.9152853199126966,0.7463788466891791,1,6811197
Chr01_6811651_7107385,0.124713472548759,0.556049620137226,0.157465397211171,0.9410822217788202,0.737947733462803,1,6811651
Chr01_7107386_7117068,0.270996894479963,0.681712357115186,0.024029987427477,0.961739149270109,0.6929782108929682,1,7107386
Chr01_7117069_8021093,0.327024729604529,0.572048734255827,0.0152098368210793,0.9546032821509144,0.6929782108929682,1,7117069
Chr01_8021094_8021338,0.507177806361126,0.627441536412177,0.0890024847818011,0.9582897761021747,0.6929782108929682,1,8021094
Chr01_8021339_8546533,0.2258931454225,0.623677954704858,0.148743250675386,0.9563724050649335,0.7310683813729496,1,8021339
Chr01_8546534_8548055,0.114126628059181,0.860739679592157,0.195893668080472,0.9803223762935233,0.7576906303795521,1,8546534
