Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.396687250732188,0.70081151910989,0.963668051813326,0.62498528142853,0.795178464794169,0.9884017984594705,0.988797954747078,0.8556460055085847,0.894907144122268,1,1
Chr01_126238_809425,0.399130259298157,0.704828931951511,0.969618852001047,0.641594034526368,0.799953930603708,0.9884017984594705,0.9906433104165627,0.85814183377836,0.8970357182983327,1,126238
Chr01_809426_814269,0.297076727724961,0.834226539844164,0.722467113089605,0.435678047635085,0.562307884335911,0.9884017984594705,0.9109961203179725,0.7686346605365356,0.8045022388772156,1,809426
Chr01_814270_1367747,0.269134226491109,0.845819109068547,0.752777070800625,0.380874387768454,0.577907641120892,0.9884017984594705,0.9236624434058913,0.7324991591841957,0.8045022388772156,1,814270
Chr01_1367748_1367899,0.223164539924965,0.367758455665529,0.712283202057932,0.352204592449252,0.565673011758204,0.8987984636858478,0.9109961203179725,0.7042361005091471,0.8045022388772156,1,1367748
Chr01_1367900_2042574,0.232288199218269,0.479588761581054,0.765559078181468,0.36710816507524,0.593612227179965,0.9339881872668194,0.9246013478807588,0.7213070320379441,0.8161575241440178,1,1367900
Chr01_2042575_2043251,0.22984217039378,0.382751153125686,0.767845579045303,0.384512677618253,0.612627280910868,0.8987984636858478,0.9254763465319333,0.7324991591841957,0.8251714395942303,1,2042575
Chr01_2043252_2231677,0.28926425997964,0.903817838125829,0.610568067911433,0.430101872908399,0.532739689003677,0.9884017984594705,0.8826490045184916,0.7659583154982246,0.8033532722412179,1,2043252
Chr01_2231678_2231705,0.310663182113631,0.638960962890329,0.721686057052361,0.443287952417016,0.579795134553461,0.9789739422175916,0.9109961203179725,0.7693748389892889,0.8045022388772156,1,2231678
Chr01_2231706_3033846,0.307039154131281,0.652362593090178,0.712108102979651,0.436642779907992,0.572163104743469,0.9880856993001232,0.9109961203179725,0.7686346605365356,0.8045022388772156,1,2231706
Chr01_3033847_3052413,0.147681569766622,0.620192821594537,0.683109254644991,0.28530365810214,0.524832239798577,0.9750843449986257,0.9050860242863772,0.6625202607269814,0.8033532722412179,1,3033847
Chr01_3052414_4229970,0.11042713808419,0.809997539135163,0.717963271634416,0.204747366881666,0.499542847842571,0.9884017984594705,0.9109961203179725,0.5513377891331609,0.8033532722412179,1,3052414
Chr01_4229971_4235626,0.112611301090611,0.876797467494969,0.322538561344041,0.212193526560949,0.23621044512067,0.9884017984594705,0.8359781134856452,0.5625427219131081,0.7923630320330776,1,4229971
Chr01_4235627_5264100,0.0978574296533945,0.849848080961762,0.281391547221467,0.163294924716349,0.206116943960281,0.9884017984594705,0.8359781134856452,0.5152737950854477,0.7923630320330776,1,4235627
Chr01_5264101_5264149,0.0984195502225582,0.768266858347884,0.31954853705763,0.18830635156484,0.234460507021315,0.9884017984594705,0.8359781134856452,0.5413050749162924,0.7923630320330776,1,5264101
Chr01_5264150_5885231,0.10295405617887,0.837311001875775,0.311127520677849,0.204699100424503,0.236679866711179,0.9884017984594705,0.8359781134856452,0.5513377891331609,0.7923630320330776,1,5264150
Chr01_5885232_5886075,0.110428415238128,0.755294041630526,0.0762724914096554,0.206996646273166,"NA",0.9884017984594705,0.6546665532891147,0.5524029903528668,NA,1,5885232
Chr01_5886076_6253003,0.108835220070504,0.656015289718683,0.287832205149035,0.196991844003183,"NA",0.988377271109655,0.8359781134856452,0.5482314677075646,NA,1,5886076
Chr01_6253004_6253851,0.119783166820249,0.714344568989199,0.366096482338583,0.204283323592162,"NA",0.9884017984594705,0.8410370580994662,0.5513377891331609,NA,1,6253004
Chr01_6253852_6811196,0.131737288739755,0.797240754371108,0.315066713835765,0.205399366111743,"NA",0.9884017984594705,0.8359781134856452,0.5514325324441389,NA,1,6253852
Chr01_6811197_6811650,0.147144761622966,0.924597616942976,0.150516088961545,0.214608647561832,"NA",0.994600546376781,0.7274944299808008,0.563285375968908,NA,1,6811197
Chr01_6811651_7107385,0.123843179438427,0.996799134497978,0.0868661126326948,0.189012008341476,"NA",0.996799134497978,0.6870319817313134,0.5415763730725506,NA,1,6811651
Chr01_7107386_7117068,0.10940224901215,0.765394955670974,0.022096653802155,0.146726533843282,"NA",0.9884017984594705,0.6546665532891147,0.501493712643212,NA,1,7107386
Chr01_7117069_8021093,0.0648407992332305,0.995512499678339,0.0370890129681962,0.0806162413416629,"NA",0.9965538307449481,0.6546665532891147,0.47664233023651587,NA,1,7117069
Chr01_8021094_8021338,0.148166618860762,0.787014368930327,0.103287942413238,0.166801931262791,"NA",0.9884017984594705,0.6921114796620194,0.5152737950854477,NA,1,8021094
Chr01_8021339_8546533,0.0176627141059507,0.756067523611151,0.162381312895085,0.0256418971987795,"NA",0.9884017984594705,0.7366417246182423,0.36077972047932255,NA,1,8021339
Chr01_8546534_8548055,0.0339752286848282,0.743709612173936,0.196085281562514,0.0593028715532859,"NA",0.9884017984594705,0.7786457031341324,0.4112097867294993,NA,1,8546534
Chr01_8548056_9439189,0.03505773669829,0.88555647570765,0.39497764524761,0.076111510826804,"NA",0.9884017984594705,0.8493812733011372,0.4734705822706908,NA,1,8548056
Chr01_9439190_9439923,0.0451978746418648,0.851093716242567,0.108785066260835,0.0773229362544976,"NA",0.9884017984594705,0.6921114796620194,0.4734705822706908,NA,1,9439190
Chr01_9439924_10127710,0.0442911661589341,0.744435174517426,0.193828614578704,0.0795532307966292,"NA",0.9884017984594705,0.7740722564343561,0.47664233023651587,NA,1,9439924
Chr01_10127711_10127775,0.0383961507242761,0.955168054521679,0.162274422156148,0.0741551748156699,"NA",0.995308528676457,0.7366417246182423,0.4734705822706908,NA,1,10127711
Chr01_10127776_10700451,0.0255546867772029,0.901078696928274,0.059220828442301,0.048160343460936,"NA",0.9884017984594705,0.6546665532891147,0.3788573727457392,NA,1,10127776
Chr01_10700452_10700489,0.0451099391486402,0.725289061453217,0.137646940670479,0.0917943685929139,"NA",0.9884017984594705,0.7241110465537653,0.47664233023651587,NA,1,10700452
Chr01_10700490_11189458,0.0490384232088572,0.78286158585257,0.274399610206297,0.0985684248340717,"NA",0.9884017984594705,0.8359781134856452,0.47664233023651587,NA,1,10700490
Chr01_11189459_11289027,0.0226793924145857,0.450264163404645,0.473250325701736,0.0369856206993537,"NA",0.9290999918070132,0.8657170590385238,0.3683959940169195,NA,1,11189459
Chr01_11289028_11965532,0.0134945141284553,0.435358162519131,0.797215732618533,0.0304903158797954,"NA",0.9188875023566299,0.9292758296174616,0.36089571147218036,NA,1,11289028
Chr01_11965533_11966198,0.0115318475313538,0.603835593243915,0.37160423472446,0.0250038444011784,"NA",0.9733151282061462,0.8410370580994662,0.36077972047932255,NA,1,11965533
Chr01_11966199_12330339,0.0162775504100708,0.928085985281573,0.468724178041412,0.0310838588180737,"NA",0.994600546376781,0.8657170590385238,0.36089571147218036,NA,1,11966199
Chr01_12330340_12330527,0.0238139051783459,0.629379193276165,0.464826420350372,0.0349332323108594,"NA",0.9789739422175916,0.8633398424069055,0.3683959940169195,NA,1,12330340
Chr01_12330528_13051606,0.0268594930560765,0.560992610459604,0.324427204197819,0.0402845505987911,"NA",0.9561691827740458,0.8359781134856452,0.3683959940169195,NA,1,12330528
Chr01_13051607_13052006,0.0310518199337603,0.52941283160024,0.310466292427451,0.0441723163998434,"NA",0.9561691827740458,0.8359781134856452,0.3725476496364151,NA,1,13051607
Chr01_13052007_13382483,0.029140819472547,0.747166400309651,0.420524076353555,0.0395325721985105,"NA",0.9884017984594705,0.8522215393953952,0.3683959940169195,NA,1,13052007
Chr01_13382484_13382509,0.0320903163580801,0.610951760566691,0.454663013382138,0.0432515941258837,"NA",0.9740330410663312,0.8531939061020681,0.37000030265616507,NA,1,13382484
Chr01_13382510_13576339,0.0314998755265269,0.468041234858721,0.397074280602501,0.0475821777143961,"NA",0.9339881872668194,0.8493812733011372,0.3788573727457392,NA,1,13382510
Chr01_13576340_13576350,0.0302396196362532,0.627687187624236,0.416222885080733,0.0469000542539518,"NA",0.9789739422175916,0.8522215393953952,0.3777355720993956,NA,1,13576340
Chr01_13576351_14061355,0.0303111263060637,0.75264862628702,0.495895995100068,0.0458059995901887,"NA",0.9884017984594705,0.8692348828278496,0.376775308576237,NA,1,13576351
Chr01_14061356_14061634,0.0281674406278153,0.954063591734673,0.28668100657608,0.0449343436458709,"NA",0.995308528676457,0.8359781134856452,0.37543274036830454,NA,1,14061356
Chr01_14061635_14604721,0.0310292756781716,0.882824223828798,0.191783919634672,0.0460026023220871,"NA",0.9884017984594705,0.7740722564343561,0.376775308576237,NA,1,14061635
Chr01_14604722_14607157,0.0196585413304184,0.651186167862754,0.0861254628433484,0.0298987058641605,"NA",0.9880856993001232,0.6868505661757035,0.36089571147218036,NA,1,14604722
Chr01_14607158_15449572,0.020559392096766,0.832024035385737,0.0415265439677684,0.0307773727014129,"NA",0.9884017984594705,0.6546665532891147,0.36089571147218036,NA,1,14607158
Chr01_15449573_15456448,0.0206755950923848,0.599998314704048,0.0211286704160975,0.0364650725801429,"NA",0.9733151282061462,0.6546665532891147,0.3683959940169195,NA,1,15449573
Chr01_15456449_16406535,0.0459729108164941,0.8902527155152,0.0499968918489959,0.0815144048892573,"NA",0.9884017984594705,0.6546665532891147,0.47664233023651587,NA,1,15456449
Chr01_16406536_16454790,0.0328564893496849,0.459732059106879,0.0507614155363851,0.064336913915019,"NA",0.9339881872668194,0.6546665532891147,0.4269261814183923,NA,1,16406536
Chr01_16454791_19216253,0.293193025018511,0.61169682098314,0.030975171928509,0.526641954141368,"NA",0.9740330410663312,0.6546665532891147,0.7926227390612509,NA,1,16454791
Chr01_19216254_19216663,0.0151870574256204,0.419959146912931,0.0388889872555235,"NA","NA",0.912249088746158,0.6546665532891147,NA,NA,1,19216254
Chr01_19216664_20661429,0.0191427047288089,0.790558438149928,0.0967467790604485,"NA","NA",0.9884017984594705,0.6904036657656377,NA,NA,1,19216664
Chr01_20661430_20662913,0.886510422568378,0.969641387323912,0.103723046796597,0.944689613848652,"NA",0.9965538307449481,0.6921114796620194,0.9729867681805241,NA,1,20661430
Chr01_20662914_21251875,0.851369116951858,0.600737566517745,0.199394795987999,0.980796669647083,"NA",0.9733151282061462,0.7822195511893449,0.9907708730672229,NA,1,20662914
Chr01_21251876_21488109,0.859416868704029,0.700782733090442,0.113686532083679,0.928755983128318,"NA",0.9884017984594705,0.6921114796620194,0.9726694921379999,NA,1,21251876
Chr01_21488110_22523058,0.904239370462472,0.885918325719386,0.103965823637145,0.96279849052169,"NA",0.9884017984594705,0.6921114796620194,0.9832202505662206,NA,1,21488110
Chr01_22523059_22523376,0.972068794854757,0.35245982124713,0.169519487751421,0.917063512045774,"NA",0.8987984636858478,0.7366417246182423,0.9726694921379999,NA,1,22523059
Chr01_22523377_25610270,0.974966011752917,0.351673393943153,0.315724839439188,0.853424734428718,"NA",0.8987984636858478,0.8359781134856452,0.963685489919045,NA,1,22523377
Chr01_25610271_25623774,0.0802915474503419,0.564915214477344,0.365803487997371,"NA","NA",0.9561691827740458,0.8410370580994662,NA,NA,1,25610271
Chr01_25623775_25991881,0.0852360962871134,0.876130794810182,0.63101449986548,"NA","NA",0.9884017984594705,0.8971942937952649,NA,NA,1,25623775
Chr01_25991882_26001088,0.102353467624843,0.594876279023375,0.507125645087602,"NA","NA",0.9714959027736688,0.8692348828278496,NA,NA,1,25991882
Chr01_26001089_26286066,0.0841776729469435,0.54214816058659,0.427865151588785,"NA","NA",0.9561691827740458,0.8522215393953952,NA,NA,1,26001089
Chr01_26286067_26293474,0.0999884479194982,0.563521435196454,0.413170379387837,"NA","NA",0.9561691827740458,0.8521639074874139,NA,NA,1,26286067
Chr01_26293475_26583692,0.0886396137359318,0.910532074015977,0.75809299334256,"NA","NA",0.9884017984594705,0.9236624434058913,NA,NA,1,26293475
Chr01_26583693_26647317,0.196236091377297,0.971001089791192,0.779522725724602,"NA","NA",0.9965538307449481,0.9273571938599088,NA,NA,1,26583693
Chr01_26647318_27308826,0.0371394459456712,0.707008172878046,0.777286952916287,0.0512661684927249,"NA",0.9884017984594705,0.926546349538693,0.3837281863971842,NA,1,26647318
Chr01_27308827_27314420,0.035307271510873,0.566056401473364,0.511766634533802,0.051507139113716,"NA",0.9561691827740458,0.8692348828278496,0.3837281863971842,NA,1,27308827
Chr01_27314421_27701084,0.036588530366614,0.376297876291886,0.637175717359054,0.054785208277194,"NA",0.8987984636858478,0.8978146352539622,0.3930360268673714,NA,1,27314421
Chr01_27701085_27712150,0.0386633458367409,0.487602440278867,0.660693370284789,0.0575020522563485,"NA",0.9339881872668194,0.9050860242863772,0.4047782261194926,NA,1,27701085
Chr01_27712151_27987745,0.0378258333389112,0.485047964571784,0.511068740362879,0.0526235529656724,"NA",0.9339881872668194,0.8692348828278496,0.388805424391001,NA,1,27712151
Chr01_27987746_27996902,0.0364893077402808,0.49227104378988,0.341370067117219,0.0534504564965204,"NA",0.9365872542881017,0.8374089314779677,0.39167793531056755,NA,1,27987746
Chr01_27996903_28327995,0.0357068445579304,0.305386753494706,0.383282294615605,0.0514834107168683,"NA",0.8885555667298765,0.8490767498776249,0.3837281863971842,NA,1,27996903
Chr01_28327996_28328780,0.027369998676581,0.0820847105317876,0.218246129405207,0.0348035478685066,"NA",0.7313006723431321,0.788156776757672,0.3683959940169195,NA,1,28327996
Chr01_28328781_28712697,0.0261984378946728,0.0621685382883681,0.184375422434657,0.0363500139091996,"NA",0.7117996451633148,0.7649681421725292,0.3683959940169195,NA,1,28328781
Chr01_28712698_28712702,0.0245177048226471,0.0485993165994333,0.371743652639576,0.0344644710450217,"NA",0.7046900906917828,0.8410370580994662,0.3683959940169195,NA,1,28712698
Chr01_28712703_29260469,0.0279055374697252,0.133777223251467,0.297010302739995,0.0416387069158069,"NA",0.7796750502674397,0.8359781134856452,0.3683959940169195,NA,1,28712703
Chr01_29260470_29264772,0.0287940063174905,0.186400952478726,0.224888205892442,0.0427800300560348,"NA",0.8135945733748611,0.7917620801105613,0.37000030265616507,NA,1,29260470
Chr01_29264773_29827856,0.0293097606424803,0.178266595636151,0.0102030403048415,0.0434564113857912,0.0122855606876685,0.8095845217442572,0.6546665532891147,0.37000030265616507,0.4766712658595438,1,29264773
Chr01_29827857_29864780,0.0242867536644454,0.140515488870115,0.00703564259513806,0.0390791251449752,0.00984064190787012,0.7796750502674397,0.6546665532891147,0.3683959940169195,0.4766712658595438,1,29827857
Chr01_29864781_30461232,0.0229195033557088,0.054086686031248,0.0115914379691629,0.0345243592136626,"NA",0.7117996451633148,0.6546665532891147,0.3683959940169195,NA,1,29864781
Chr01_30461233_30463952,0.0294673696865325,0.250357055382491,0.121171522193205,0.0420317577066284,"NA",0.86053574516448,0.6921114796620194,0.3683959940169195,NA,1,30461233
Chr01_30463953_31287140,0.0259160373980666,0.211146887736358,0.0183684891261978,0.0301041252815863,0.0128517216834488,0.8511955475818473,0.6546665532891147,0.36089571147218036,0.4766712658595438,1,30463953
Chr01_31287141_31299042,0.0214937791453162,0.0776602569352427,0.0195285242579941,0.0302673020775169,0.0134128278272166,0.7313006723431321,0.6546665532891147,0.36089571147218036,0.4766712658595438,1,31287141
Chr01_31299043_32249075,0.00344958897276609,0.0570657357638557,0.00918002356387481,0.006062271368135,0.00660157691960013,0.7117996451633148,0.6546665532891147,0.15054640564201915,0.4766712658595438,1,31299043
Chr01_32249076_32254238,0.00379836680007593,0.10679482936454,0.0151248610606824,0.00763508913330067,0.00973959761234649,0.7796750502674397,0.6546665532891147,0.1750197355172,0.4766712658595438,1,32249076
Chr01_32254239_32925441,0.00360050108361529,0.0611897185049334,0.0131893058930942,0.00669282904333099,0.00837983276304279,0.7117996451633148,0.6546665532891147,0.1574576095983659,0.4766712658595438,1,32254239
Chr01_32925442_32925676,0.00468548576128453,0.112551232749567,0.0161192813890848,0.00901111768167567,0.0109102808364963,0.7796750502674397,0.6546665532891147,0.18448122371107864,0.4766712658595438,1,32925442
Chr01_32925677_33648211,0.00523466423952967,0.226055408925799,0.0162197244966327,0.0103023261307503,0.0118709888635224,0.857509727310273,0.6546665532891147,0.19503448069736076,0.4766712658595438,1,32925677
Chr01_33648212_33648861,0.00660064972760227,0.488813937733183,0.0175452600334081,0.0111261280934736,0.012927026680058,0.9339881872668194,0.6546665532891147,0.19503448069736076,0.4766712658595438,1,33648212
Chr01_33648862_33944256,0.00514113240595626,0.297642213976689,0.0120624211070959,0.00826796964876361,0.00905746245531772,0.8885555667298765,0.6546665532891147,0.18192658727043243,0.4766712658595438,1,33648862
Chr01_33944257_33944395,0.00517376607521464,0.270901137306566,0.0134334254748108,0.00834338934909142,0.00959794682454466,0.8648980103778163,0.6546665532891147,0.18192658727043243,0.4766712658595438,1,33944257
Chr01_33944396_34707623,0.0639572562856634,0.476919827755762,0.152873004324784,0.0999610602370617,0.11186507199151,0.9339881872668194,0.7281714291911227,0.47664233023651587,0.6226706416876822,1,33944396
Chr01_34707624_34711948,0.0493524191597612,0.818418021181735,0.124662458854756,0.108825353546825,0.106388909167655,0.9884017984594705,0.6921114796620194,0.47664233023651587,0.6226706416876822,1,34707624
Chr01_34711949_35098398,0.182756155932264,0.597368928777463,0.504176520312639,0.348810856588706,0.46991308298873,0.9722484095918913,0.8692348828278496,0.702214304337803,0.8033532722412179,1,34711949
Chr01_35098399_35197978,0.140414522969834,0.674675266634602,0.527283884388079,0.334542736200702,0.473030559622532,0.9884017984594705,0.8692348828278496,0.6938690509501133,0.8033532722412179,1,35098399
Chr01_35197979_35842906,0.194002769649031,0.76510792349342,0.457279830229056,0.382702475223068,0.477649677540447,0.9884017984594705,0.8531939061020681,0.7324991591841957,0.8033532722412179,1,35197979
Chr01_35842907_35842941,0.214440116483196,0.633326762381047,0.505704294751179,0.393874594916751,0.51324031583083,0.9789739422175916,0.8692348828278496,0.7397560669234776,0.8033532722412179,1,35842907
Chr01_35842942_36467175,0.227476163542307,0.87375208775424,0.538744783072692,0.383174433251339,0.520298204404096,0.9884017984594705,0.8692348828278496,0.7324991591841957,0.8033532722412179,1,35842942
Chr01_36467176_36477457,0.642548976903837,0.878018053633845,0.456478348367699,0.856596495981579,0.430654625670859,0.9884017984594705,0.8531939061020681,0.963685489919045,0.8033532722412179,1,36467176
Chr01_36477458_36677915,0.619471782464573,0.892629871121363,0.467928615865687,0.847738281303419,0.432373593649125,0.9884017984594705,0.8657170590385238,0.963685489919045,0.8033532722412179,1,36477458
Chr01_36677916_36678639,0.571622946361853,0.801021654699609,0.433987269086024,0.819406383832339,0.39589205070675,0.9884017984594705,0.8531939061020681,0.9558667798291991,0.8033532722412179,1,36677916
Chr01_36678640_37008510,0.570497482785244,0.755500747767204,0.448170737772951,0.817012956160144,0.400068923767787,0.9884017984594705,0.8531939061020681,0.9558667798291991,0.8033532722412179,1,36678640
Chr01_37008511_37008685,0.608430164218373,0.80021709702278,0.54554791297787,0.833053534944253,0.455318811190715,0.9884017984594705,0.8692348828278496,0.9609675616002094,0.8033532722412179,1,37008511
Chr01_37008686_37399402,0.656480867353504,0.876179000343099,0.573725080416043,0.861886618560326,0.490990852528487,0.9884017984594705,0.878487843133045,0.963685489919045,0.8033532722412179,1,37008686
Chr01_37399403_37399747,0.634645040402198,0.783713755989515,0.418039748042986,0.841683657438914,0.395388561157337,0.9884017984594705,0.8522215393953952,0.963685489919045,0.8033532722412179,1,37399403
Chr01_37399748_38492440,0.537976923599381,0.858754334034055,0.337896968684408,0.808458646981268,0.349631183801307,0.9884017984594705,0.8374089314779677,0.9517312698005349,0.8033532722412179,1,37399748
Chr01_38492441_38553272,0.537424065231263,0.828375777746277,0.253140898873202,0.819261380480326,0.31967121180335,0.9884017984594705,0.8103065742293802,0.9558667798291991,0.8033532722412179,1,38492441
Chr01_38553273_41248221,0.182245654361235,0.379958074003335,0.329885516817759,0.37298085047854,0.444207885660574,0.8987984636858478,0.8359781134856452,0.7280455902354034,0.8033532722412179,1,38553273
Chr01_41248222_41249634,0.27151167388571,0.1087233905834,0.52125808444185,0.389363022688432,0.612486314833018,0.7796750502674397,0.8692348828278496,0.7359208082102711,0.8251714395942303,1,41248222
Chr01_41249635_41946984,0.385831451824114,0.1766826607622,0.388705767154077,0.514645632748035,0.483226481201189,0.8095845217442572,0.8493812733011372,0.7875223595796078,0.8033532722412179,1,41249635
Chr01_41946985_41946999,0.420474597531942,0.278129534393546,0.327251497005353,0.497525991543599,0.44439933200538,0.8670031414157118,0.8359781134856452,0.7875223595796078,0.8033532722412179,1,41946985
Chr01_41947000_42826924,0.429128544414566,0.834840712461577,0.512324013466101,0.634767500001456,0.59129195435496,0.9884017984594705,0.8692348828278496,0.85814183377836,0.8154533818268404,1,41947000
Chr01_42826925_42828044,0.41111868463695,0.742614771210872,0.536118364674246,0.550900167268141,0.511920943887551,0.9884017984594705,0.8692348828278496,0.8021249992470977,0.8033532722412179,1,42826925
Chr01_42828045_44953517,0.327394997868976,0.906328975934625,0.810440127026736,0.460599320611032,0.646216338947132,0.9884017984594705,0.9363815059306968,0.771329973278376,0.8492539122981204,1,42828045
Chr01_44953518_50495391,0.484134950257539,0.519487201089911,0.782656872849668,0.64962535293065,0.694378618634643,0.9557837175102549,0.9273571938599088,0.85814183377836,0.8651286012752588,1,44953518
Chr02_1_4524,0.0648195453239801,0.00425307425246121,0.962433404868873,0.114704973482435,"NA",0.47130523712214517,0.988797954747078,0.47664233023651587,NA,2,1
Chr02_4525_349303,0.0648195453239801,0.00425307425246121,0.962433404868873,0.114704973482435,"NA",0.47130523712214517,0.988797954747078,0.47664233023651587,NA,2,4525
Chr02_349304_361275,0.0595482339518828,0.00208562327829535,0.852977081239762,0.095332427146799,"NA",0.47130523712214517,0.9438310739398313,0.47664233023651587,NA,2,349304
Chr02_361276_876244,0.0614368711809491,0.00305873236622971,0.962027461473687,0.0967358170878754,"NA",0.47130523712214517,0.988797954747078,0.47664233023651587,NA,2,361276
Chr02_876245_880558,0.0637116138186861,0.0192274004758503,0.60576995598035,0.0812588442107308,"NA",0.5641225935610558,0.8824053081668489,0.47664233023651587,NA,2,876245
