Pheno,Marker,Dos_P_adj,Linkage_Class
Blup_Transfo_Num_Indents_field_y1_y2,Chr04_1_60379,0.04597680069348356,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr04_60380_871979,0.04597680069348356,significant
Blup_Transfo_Num_Indents_field_y1_y2,Chr04_871980_872101,0.07238427543104756,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr04_872102_1430273,0.07794544695583319,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr04_1430678_2488919,0.06522205940437296,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr04_2488920_2489076,0.06522205940437296,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr04_2489077_3015345,0.06522205940437296,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr04_3015346_3039820,0.06522205940437296,suggestive
Blup_Transfo_Num_Indents_field_y1_y2,Chr04_3039821_3679193,0.09403968639231175,suggestive
Blup_Transfo_Num_Indents_field_year2,Chr04_1_60379,0.09839511079945085,suggestive
Blup_Transfo_Num_Indents_field_year2,Chr04_60380_871979,0.09839511079945085,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr04_1_60379,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr04_60380_871979,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr04_1430274_1430677,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr04_2488920_2489076,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr05_3339590_3341550,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_5861629_9076514,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_9076515_9135976,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_10478407_10480775,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_10480776_10878354,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_10878355_10878412,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_11065073_11065075,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_11065076_11866233,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_11866234_11884943,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_11884944_12457477,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_12457478_12457521,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_12457522_12723868,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_12723869_12724030,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_12724031_13345560,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_13345561_13349542,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_14959996_14960010,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC2_y1_y2,Chr17_14960011_15481423,0.07606505233982407,suggestive
Blup_Transfo_PC1_PC3_y1_y2,Chr04_1_60379,0.009014334854174307,confirmed
Blup_Transfo_PC1_PC3_y1_y2,Chr04_60380_871979,0.009014334854174307,confirmed
Blup_Transfo_PC1_PC3_y1_y2,Chr04_871980_872101,0.015264166576431502,significant
Blup_Transfo_PC1_PC3_y1_y2,Chr04_872102_1430273,0.020032234823296954,significant
