Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.613640204829216,0.00680686840530403,0.635483483390828,0.2434545301641311,0.9314805445263076,1,1
Chr01_126238_809425,0.61287247475141,0.00640125240434341,0.633160334593222,0.2434545301641311,0.9308906904019432,1,126238
Chr01_809426_814269,0.474236606881454,0.016053357270748,0.705259002174651,0.4253956679876027,0.9486011410686342,1,809426
Chr01_814270_1367747,0.517653463773763,0.00501090607361811,0.656792064196022,0.2434545301641311,0.939848803013626,1,814270
Chr01_1367748_1367899,0.282850086211721,0.0062356758640982,0.90851144578905,0.2434545301641311,0.9835067179702668,1,1367748
Chr01_1367900_2042574,0.234729991823179,0.00641780049588479,0.811531393167241,0.2434545301641311,0.9663676025632815,1,1367900
Chr01_2042575_2043251,0.46038243344269,0.00646237394202911,0.933602217861192,0.2434545301641311,0.9835067179702668,1,2042575
Chr01_2043252_2231677,0.433158891107727,0.00638998618111309,0.60642951548332,0.2434545301641311,0.9250025360958956,1,2043252
Chr01_2231678_2231705,0.794024058096057,0.00595770647376735,0.785272927512522,0.2434545301641311,0.9650054026014996,1,2231678
Chr01_2231706_3033846,0.736969047176464,0.00415366699924353,0.853150190537102,0.2434545301641311,0.9663676025632815,1,2231706
Chr01_3033847_3052413,0.910316145226606,0.00682582794852704,0.840419366779557,0.2434545301641311,0.9663676025632815,1,3033847
Chr01_3052414_4229970,0.353999850679789,0.00605929899446711,0.956481519811239,0.2434545301641311,0.984357898905884,1,3052414
Chr01_4229971_4235626,0.269084691336345,0.00370033093953484,0.840206395385474,0.2434545301641311,0.9663676025632815,1,4229971
Chr01_4235627_5264100,0.322487835607056,7.9350375138918e-05,0.410133882224346,0.01042813343434933,0.8742686377666098,1,4235627
Chr01_5264101_5264149,0.105011008381997,5.00848677101909e-05,0.288002728508517,0.008296698022207463,0.8452227301279882,1,5264101
Chr01_5264150_5885231,0.385340717912494,3.5631741168994e-05,0.0587737057938547,0.008296698022207463,0.7145295868837764,1,5264150
Chr01_5885232_5886075,0.338970016836149,8.66303919779799e-05,0.0590535008001818,0.01042813343434933,0.7145295868837764,1,5885232
Chr01_5886076_6253003,0.516023964604022,4.45006928821433e-05,0.0912511640648958,0.008296698022207463,0.7843262266214013,1,5886076
Chr01_6253004_6253851,0.755900426697787,3.22960682767444e-05,0.165378383051324,0.008296698022207463,0.8035901643667263,1,6253004
Chr01_6253852_6811196,0.645781568473672,2.3931401734673e-05,0.141899865852773,0.008296698022207463,0.8010307221691908,1,6253852
Chr01_6811197_6811650,0.550875189956009,5.16928225682708e-05,0.144435039164762,0.008296698022207463,0.8010307221691908,1,6811197
Chr01_6811651_7107385,0.215353582589465,0.000311989299049405,0.335623853054812,0.03338285499828634,0.8452227301279882,1,6811651
Chr01_7107386_7117068,0.380181329831676,0.00107521753200893,0.24185227235186,0.0941304075749636,0.820937436620001,1,7107386
Chr01_7117069_8021093,0.17328678913715,0.000932203427672333,0.557784852128469,0.08977119008484567,0.9250025360958956,1,7117069
Chr01_8021094_8021338,0.203020404417413,0.0245550220866548,0.297360940601557,0.5499182853360133,0.8452227301279882,1,8021094
Chr01_8021339_8546533,0.265633070239298,0.00262388487488229,0.657796566179838,0.21056676120930376,0.939848803013626,1,8021339
Chr01_8546534_8548055,0.623692999628179,0.00490577058229944,0.802848332622605,0.2434545301641311,0.9663676025632815,1,8546534
Chr01_8548056_9439189,0.483588387014672,0.00764009169303465,0.935012276512312,0.2627645821568703,0.9835067179702668,1,8548056
Chr01_9439190_9439923,0.55831985442226,0.151859018515834,0.946295686459635,0.9403711891042511,0.9835067179702668,1,9439190
Chr01_9439924_10127710,0.671323072665988,0.172190075657656,0.885829974953979,0.9403711891042511,0.9788384300896645,1,9439924
Chr01_10127711_10127775,0.669369627055023,0.127299829055769,0.74951550130822,0.9403711891042511,0.9598730356370908,1,10127711
Chr01_10127776_10700451,0.175132964211723,0.10110152749477,0.773062138990459,0.8699074394417208,0.9621629344377601,1,10127776
Chr01_10700452_10700489,0.390330857916621,0.322032882835322,0.622341036880599,0.9487162263724287,0.9291696411101037,1,10700452
Chr01_10700490_11189458,0.240473615141247,0.362223386140248,0.414375840490714,0.9487162263724287,0.8742686377666098,1,10700490
Chr01_11189459_11289027,0.440126922732672,0.306487936823667,0.401677387381664,0.9487162263724287,0.8700018711981845,1,11189459
Chr01_11289028_11965532,0.351124370041327,0.406483020760072,0.426053489697228,0.9487162263724287,0.8804495935159454,1,11289028
Chr01_11965533_11966198,0.464193960532101,0.613007732284218,0.292200594876808,0.956974803780129,0.8452227301279882,1,11965533
Chr01_11966199_12330339,0.72870917643255,0.464575260386757,0.205169045421047,0.9487162263724287,0.820937436620001,1,11966199
Chr01_12330340_12330527,0.529698364844309,0.500471332344398,0.233325755020167,0.9487162263724287,0.820937436620001,1,12330340
Chr01_12330528_13051606,0.730756836478392,0.340723444910427,0.355084919051319,0.9487162263724287,0.8644363827533886,1,12330528
Chr01_13051607_13052006,0.331084751763915,0.216749796397496,0.155074922194273,0.9403711891042511,0.8035901643667263,1,13051607
Chr01_13052007_13382483,0.411945291760263,0.374591069099217,0.198286735353403,0.9487162263724287,0.8180431184236998,1,13052007
Chr01_13382484_13382509,0.424406328828309,0.395061959366863,0.223242269092977,0.9487162263724287,0.820937436620001,1,13382484
Chr01_13382510_13576339,0.347834971763271,0.516073183183586,0.29661142641835,0.9487162263724287,0.8452227301279882,1,13382510
Chr01_13576340_13576350,0.460739063970311,0.410886716280331,0.199504440221094,0.9487162263724287,0.8180431184236998,1,13576340
