Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,NigDos_P_adj,CHR,BP
Chr01_1_126237,0.788815730874438,0.0337642902105541,0.705638427571629,0.536812023337745,0.7257428744071,0.9992111788441,0.99893104838133,0.9942685328844252,0.999174680977472,1,1
Chr01_126238_809425,0.793685827197249,0.0324467080334249,0.706302616919322,0.529825814654759,0.726537692929116,0.9992111788441,0.99893104838133,0.9942685328844252,0.999174680977472,1,126238
Chr01_809426_814269,0.598900603117874,0.0799977540949372,0.50986971086531,0.877941204314745,0.497921996765914,0.9992111788441,0.9516102120910577,0.9942685328844252,0.9723552723386398,1,809426
Chr01_814270_1367747,0.629134519844465,0.0383013550506976,0.234765631077791,0.882272754667465,0.228600711870564,0.9992111788441,0.9288466079015933,0.9942685328844252,0.8843499291415092,1,814270
Chr01_1367748_1367899,0.585967242897829,0.0586221892619056,0.183280858291697,0.813783874540182,0.194296473137082,0.9992111788441,0.9288466079015933,0.9942685328844252,0.8843499291415092,1,1367748
Chr01_1367900_2042574,0.591616589576981,0.0419128645234332,0.183243127156796,0.800661032513094,0.188638064658868,0.9992111788441,0.9288466079015933,0.9942685328844252,0.8843499291415092,1,1367900
Chr01_2042575_2043251,0.594968505555064,0.0464961888128173,0.161243960692299,0.735821259468687,0.16365728874691,0.9992111788441,0.9288466079015933,0.9942685328844252,0.8843499291415092,1,2042575
Chr01_2043252_2231677,0.606763244473766,0.0299179897887539,0.152478078262534,0.843602586132795,0.182379806606862,0.9992111788441,0.9288466079015933,0.9942685328844252,0.8843499291415092,1,2043252
Chr01_2231678_2231705,0.619504629841637,0.0510398915848821,0.194221256867885,0.831455272582371,0.210219238404762,0.9992111788441,0.9288466079015933,0.9942685328844252,0.8843499291415092,1,2231678
Chr01_2231706_3033846,0.622788698386565,0.0433005963734547,0.201286347621492,0.844351379921692,0.215611684789821,0.9992111788441,0.9288466079015933,0.9942685328844252,0.8843499291415092,1,2231706
Chr01_3033847_3052413,0.51175087050163,0.0998187843173322,0.171391646946155,0.725221302481943,0.193950330120436,0.9992111788441,0.9288466079015933,0.9942685328844252,0.8843499291415092,1,3033847
Chr01_3052414_4229970,0.463604792491026,0.0527213556067579,0.189749616706768,0.682688270058747,0.185449744920741,0.9992111788441,0.9288466079015933,0.9942685328844252,0.8843499291415092,1,3052414
Chr01_4229971_4235626,0.48557573640285,0.0207776299538654,0.0306814599840856,0.757818263090264,0.0272231642630969,0.9263923860741625,0.9288466079015933,0.9942685328844252,0.8843499291415092,1,4229971
Chr01_4235627_5264100,0.525754619491706,0.00231688916459421,0.0147556808539254,0.700549414730264,0.0140410532232022,0.3674650704777865,0.9288466079015933,0.9942685328844252,0.8843499291415092,1,4235627
Chr01_5264101_5264149,0.20481138407989,0.00128641683654234,0.0169177396696229,0.402030912047433,0.0145477604835144,0.2477638827180547,0.9288466079015933,0.9904111458836453,0.8843499291415092,1,5264101
Chr01_5264150_5885231,0.211948864791911,0.000751088853946374,0.019541913710802,0.390750271673226,0.0147480869997571,0.23098852547689785,0.9288466079015933,0.990053474268819,0.8843499291415092,1,5264150
Chr01_5885232_5886075,0.234889957214281,0.00303817856545236,0.23253811056708,0.395630502253821,"NA",0.3674650704777865,0.9288466079015933,0.9904111458836453,NA,1,5885232
Chr01_5886076_6253003,0.207080499793715,0.0034342529951195,0.296518465451413,0.318082871260521,"NA",0.3674650704777865,0.9288466079015933,0.9408463395668277,NA,1,5886076
Chr01_6253004_6253851,0.215629330412932,0.000368040793284501,0.705798192424008,0.302087934836583,"NA",0.17721164196648723,0.99893104838133,0.9408463395668277,NA,1,6253004
Chr01_6253852_6811196,0.196863956903784,0.000959453896061881,0.954737833693144,0.279922394988181,"NA",0.23098852547689785,0.99893104838133,0.9408463395668277,NA,1,6253852
Chr01_6811197_6811650,0.200795875809883,0.00034888938772773,0.66031698030407,0.316459153915406,"NA",0.17721164196648723,0.9831146375454997,0.9408463395668277,NA,1,6811197
Chr01_6811651_7107385,0.202324583541756,0.0255639070359479,0.971404023672258,0.362114913090163,"NA",0.9992111788441,0.99893104838133,0.9662700305104556,NA,1,6811651
Chr01_7107386_7117068,0.218905448797498,0.0445289028426907,0.57036134440035,0.382916941207306,"NA",0.9992111788441,0.982572405469655,0.9885760267471522,NA,1,7107386
Chr01_7117069_8021093,0.00987046025224121,0.194094433772154,0.842565185303638,0.0238224639843648,"NA",0.9992111788441,0.99893104838133,0.7079926551708998,NA,1,7117069
Chr01_8021094_8021338,0.0340331266811071,0.470528020855447,0.683686580041588,0.0649687924354655,"NA",0.9992111788441,0.9914588397342582,0.7550504096885821,NA,1,8021094
