Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.680279957917344,0.762900185111788,0.425886548162722,0.989160208320372,Chr01_1_126237,0.9738941118177822,0.9348014371369837,0.999287293791449,1,1
Chr01_126238_809425,0.680279957917344,0.762900185111788,0.425886548162722,0.989160208320372,Chr01_126238_809425,0.9738941118177822,0.9348014371369837,0.999287293791449,1,126238
Chr01_809426_814269,0.782344201824643,0.733783498625596,0.331843842093443,0.914432622123594,Chr01_809426_814269,0.9720616844218635,0.8895645851076328,0.9780661429042082,1,809426
Chr01_814270_1367747,0.67628079616228,0.999858696836711,0.283314506307653,0.905389930338138,Chr01_814270_1367747,0.999858696836711,0.843612558366468,0.975279679346696,1,814270
Chr01_1367748_1367899,0.914297125033922,0.446971924761449,0.500228163458999,0.871289034032974,Chr01_1367748_1367899,0.9323290797286716,0.9512567992195102,0.959240169327258,1,1367748
Chr01_1367900_2042574,0.869254070015425,0.473303140225278,0.452400004081308,0.861029238893061,Chr01_1367900_2042574,0.9323290797286716,0.9371550094608392,0.959240169327258,1,1367900
Chr01_2042575_2043251,0.984624941619341,0.351646208974862,0.5908457763356,0.873314746993383,Chr01_2042575_2043251,0.9323290797286716,0.9512567992195102,0.959240169327258,1,2042575
Chr01_2043252_2231677,0.881289599304667,0.942429150902381,0.810726353365288,0.958454831390917,Chr01_2043252_2231677,0.9926673252561937,0.9626118116260305,0.999287293791449,1,2043252
Chr01_2231678_2231705,0.576777916652907,0.659908498914047,0.718557850664732,0.938702911005656,Chr01_2231678_2231705,0.9720616844218635,0.9610294169536233,0.9920199438166484,1,2231678
Chr01_2231706_3033846,0.549102884644391,0.6270284814815,0.693205604505243,0.931311284145804,Chr01_2231706_3033846,0.9707214251909232,0.9610294169536233,0.9859053939060752,1,2231706
Chr01_3033847_3052413,0.3789010940725,0.552626221700283,0.553909387305732,0.829858422962227,Chr01_3033847_3052413,0.9444885163039962,0.9512567992195102,0.959240169327258,1,3033847
Chr01_3052414_4229970,0.452066023521269,0.875065356988481,0.0773002976747464,0.786458614109255,Chr01_3052414_4229970,0.9863810914463796,0.6895133401715452,0.9434482821696833,1,3052414
