Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.868058429617241,0.401352461182405,0.740686353008478,0.7540239584788282,0.9658731861306239,1,1
Chr01_126238_809425,0.852752267616397,0.407202313413881,0.742923675873316,0.7555603618835596,0.9658731861306239,1,126238
Chr01_809426_814269,0.851697135623049,0.537361584088886,0.505652680533488,0.8293732737695727,0.9593435878947463,1,809426
Chr01_814270_1367747,0.859954086297915,0.335197284362208,0.476017439416506,0.7157316737046704,0.9582895029210325,1,814270
Chr01_1367748_1367899,0.38145602586067,0.213618162772325,0.226652339326913,0.6614607419606077,0.8871002648213346,1,1367748
Chr01_1367900_2042574,0.370608103402732,0.241360969003088,0.171030923975741,0.6703437879722141,0.8547425700872788,1,1367900
Chr01_2042575_2043251,0.528807465981821,0.241432388945371,0.266508767493201,0.6703437879722141,0.8871002648213346,1,2042575
Chr01_2043252_2231677,0.898071215385806,0.41099562449687,0.381447476453298,0.7579643981683963,0.9276109086477928,1,2043252
Chr01_2231678_2231705,0.727198476964711,0.431246248667057,0.310614195026168,0.7733522112967893,0.8871002648213346,1,2231678
Chr01_2231706_3033846,0.784382586333336,0.365080518596108,0.35387095304006,0.7219148653142752,0.8871002648213346,1,2231706
Chr01_3033847_3052413,0.345468089171824,0.326474917730835,0.683567036790561,0.7129930830811818,0.9658731861306239,1,3033847
Chr01_3052414_4229970,0.919008112138949,0.26434311256557,0.291458295933926,0.6834518043197831,0.8871002648213346,1,3052414
Chr01_4229971_4235626,0.972333071904019,0.304758917907668,0.241694988565695,0.705487591214145,0.8871002648213346,1,4229971
Chr01_4235627_5264100,0.591187647062546,0.249203230810111,0.478371498965623,0.6783016370314406,0.9582895029210325,1,4235627
Chr01_5264101_5264149,0.660338136205364,0.195990300809738,0.354240969487787,0.6576259919156018,0.8871002648213346,1,5264101
Chr01_5264150_5885231,0.516927176398275,0.0987192570852084,0.776629662476686,0.6044845944730072,0.9658731861306239,1,5264150
Chr01_5885232_5886075,0.851587368786105,0.0817177005618118,0.940426588498703,0.562101040293034,0.9819867594545747,1,5885232
Chr01_5886076_6253003,0.995873295293514,0.0529238902765099,0.808255349031794,0.5114051457189486,0.9658731861306239,1,5886076
Chr01_6253004_6253851,0.889029738846073,0.141582980581605,0.960611590683645,0.645819293425248,0.98984286469062,1,6253004
Chr01_6253852_6811196,0.983438895405763,0.0467086258975532,0.607232737622002,0.5114051457189486,0.9658731861306239,1,6253852
Chr01_6811197_6811650,0.998277794740982,0.0672069821348755,0.685613376943837,0.5177625903670808,0.9658731861306239,1,6811197
Chr01_6811651_7107385,0.802804553607095,0.0179561024394347,0.821876152732636,0.484825268563056,0.9658731861306239,1,6811651
Chr01_7107386_7117068,0.818239636268543,0.0383900124680144,0.644198683059682,0.5013742422989477,0.9658731861306239,1,7107386
Chr01_7117069_8021093,0.675195202897585,0.0101116905265205,0.491530118356967,0.484825268563056,0.9582895029210325,1,7117069
Chr01_8021094_8021338,0.607499641087908,0.0317175409340317,0.903834901827499,0.484825268563056,0.9658731861306239,1,8021094
Chr01_8021339_8546533,0.913336556775033,0.00632137617935958,0.699942719108054,0.484825268563056,0.9658731861306239,1,8021339
Chr01_8546534_8548055,0.59408796378287,0.00548204241157128,0.762438255201599,0.47992789475846753,0.9658731861306239,1,8546534
Chr01_8548056_9439189,0.700189098110264,0.00293515603187007,0.406791140596999,0.3714222898366327,0.9568037639885014,1,8548056
Chr01_9439190_9439923,0.977728444718256,0.0150001736346227,0.355967082362099,0.484825268563056,0.8880733168774646,1,9439190
Chr01_9439924_10127710,0.815036817722602,0.0274278822333132,0.496828171923437,0.484825268563056,0.9582895029210325,1,9439924
Chr01_10127711_10127775,0.895451081612954,0.0233858701439846,0.479661987764137,0.484825268563056,0.9582895029210325,1,10127711
Chr01_10127776_10700451,0.821993283418754,0.00546772881067164,0.533660818026062,0.47992789475846753,0.9656417255833287,1,10127776
Chr01_10700452_10700489,0.839982062064286,0.0144070884647546,0.511052191682248,0.484825268563056,0.9593435878947463,1,10700452
Chr01_10700490_11189458,0.655619111562886,0.0211935795413376,0.655943329936466,0.484825268563056,0.9658731861306239,1,10700490
Chr01_11189459_11289027,0.688085889896871,0.0271862770488147,0.907776577463038,0.484825268563056,0.9665712288298837,1,11189459
Chr01_11289028_11965532,0.962772210039421,0.0611109995378289,0.897833782839211,0.5177625903670808,0.9658731861306239,1,11289028
Chr01_11965533_11966198,0.783925514869681,0.0881391840456276,0.822027267966889,0.5669622391529452,0.9658731861306239,1,11965533
Chr01_11966199_12330339,0.805635344087657,0.0265871260261237,0.727454055449942,0.484825268563056,0.9658731861306239,1,11966199
Chr01_12330340_12330527,0.765098228772981,0.0370951729957473,0.890449585133375,0.5013742422989477,0.9658731861306239,1,12330340
Chr01_12330528_13051606,0.507203964119183,0.0143822154938093,0.995409467937321,0.484825268563056,0.9985201225246252,1,12330528
Chr01_13051607_13052006,0.843287785218966,0.0136486890473366,0.844489388677445,0.484825268563056,0.9658731861306239,1,13051607
Chr01_13052007_13382483,0.86838907294335,0.02952609019222,0.903468967319922,0.484825268563056,0.9658731861306239,1,13052007
Chr01_13382484_13382509,0.990284006271365,0.0359063690364779,0.944668296594139,0.5013742422989477,0.9824142220520042,1,13382484
Chr01_13382510_13576339,0.798763167979069,0.020125874921565,0.962319479739948,0.484825268563056,0.9900786955016772,1,13382510
Chr01_13576340_13576350,0.828012289867718,0.0295400513286039,0.978057205757857,0.484825268563056,0.9934489982215736,1,13576340
Chr01_13576351_14061355,0.777811546725978,0.040753682019282,0.870518230203791,0.5016520933253831,0.9658731861306239,1,13576351
Chr01_14061356_14061634,0.785284559906635,0.0313662322501379,0.832957519680566,0.484825268563056,0.9658731861306239,1,14061356
Chr01_14061635_14604721,0.733174492251456,0.0282473984817863,0.705744753683527,0.484825268563056,0.9658731861306239,1,14061635
Chr01_14604722_14607157,0.476591102119809,0.10236862986296,0.631756077113747,0.6044845944730072,0.9658731861306239,1,14604722
Chr01_14607158_15449572,0.559175081280999,0.12134860161679,0.371296303684441,0.6226268439853659,0.9168162575592735,1,14607158
Chr01_15449573_15456448,0.600156827550345,0.124871884716524,0.253973657504649,0.6230654144145731,0.8871002648213346,1,15449573
Chr01_15456449_16406535,0.978394005643439,0.0755329527155004,0.16888005076068,0.5463550883752587,0.8547425700872788,1,15456449
Chr01_16406536_16454790,0.898361022662776,0.105373496376982,0.222997333564773,0.6076327964732554,0.8871002648213346,1,16406536
Chr01_16454791_19216253,0.582170376395136,0.156267461081151,0.234811948658357,0.6504274539537932,0.8871002648213346,1,16454791
Chr01_19216254_19216663,0.656949555316595,0.267407606060302,0.261016537184528,0.6834518043197831,0.8871002648213346,1,19216254
Chr01_19216664_20661429,0.682166282158,0.124544546487989,0.430916657548155,0.6230654144145731,0.9580771721621864,1,19216664
Chr01_20661430_20662913,0.863156592392222,0.182553619278429,0.450933509530441,0.6504274539537932,0.9580771721621864,1,20661430
Chr01_20662914_21251875,0.983004239167242,0.208206135773041,0.662268192337287,0.6580762668020232,0.9658731861306239,1,20662914
Chr01_21251876_21488109,0.51486278608748,0.15827217401371,0.623350915847963,0.6504274539537932,0.9658731861306239,1,21251876
Chr01_21488110_22523058,0.798146409878845,0.0833120978100573,0.790396632360165,0.5630227609241881,0.9658731861306239,1,21488110
Chr01_22523059_22523376,0.751010522502635,0.238748213311509,0.11297985854583,0.6703437879722141,0.8547425700872788,1,22523059
Chr01_22523377_25610270,0.990543017241846,0.739932175849255,0.418529837550773,0.9249564618770285,0.9580771721621864,1,22523377
Chr01_25610271_25623774,0.482438877793914,0.795052518136085,0.444293499385637,0.9393618431906657,0.9580771721621864,1,25610271
Chr01_25623775_25991881,0.935370458587031,0.66186766522917,0.606841845189991,0.8925514545478556,0.9658731861306239,1,25623775
Chr01_25991882_26001088,0.856673720434731,0.582495020096114,0.541390961801101,0.8449210502220492,0.9656417255833287,1,25991882
Chr01_26001089_26286066,0.900239532484327,0.609397536340368,0.469353453036514,0.8617471769394631,0.9582895029210325,1,26001089
Chr01_26286067_26293474,0.878315788047344,0.628464712193198,0.501740904773643,0.8783899638683963,0.9593435878947463,1,26286067
Chr01_26293475_26583692,0.713739735017219,0.704694631909236,0.738596060674318,0.9142065720318958,0.9658731861306239,1,26293475
Chr01_26583693_26647317,0.782998915559313,0.852721082101453,0.624276497477111,0.9517912971920103,0.9658731861306239,1,26583693
Chr01_26647318_27308826,0.999702146194034,0.832642547489103,0.510839107925758,0.9432104791960314,0.9593435878947463,1,26647318
Chr01_27308827_27314420,0.769689171992307,0.970084630364629,0.126028752657489,0.9885624328477647,0.8547425700872788,1,27308827
Chr01_27314421_27701084,0.612795274145716,0.559725889283348,0.0723531843159426,0.8395888339250219,0.8547425700872788,1,27314421
Chr01_27701085_27712150,0.967339590557737,0.647521105339155,0.169129190311622,0.8803524496044163,0.8547425700872788,1,27701085
Chr01_27712151_27987745,0.880993038251336,0.416628477023065,0.065966507665869,0.7613154143704205,0.8547425700872788,1,27712151
Chr01_27987746_27996902,0.996932204236391,0.36909308425334,0.128385668446101,0.7268642947565774,0.8547425700872788,1,27987746
Chr01_27996903_28327995,0.805224970841673,0.314981952016778,0.200996621224331,0.712266682111706,0.8871002648213346,1,27996903
Chr01_28327996_28328780,0.958505323379015,0.173485013501964,0.129892370253702,0.6504274539537932,0.8547425700872788,1,28327996
Chr01_28328781_28712697,0.969930488748647,0.183326950214975,0.1467079483079,0.6504274539537932,0.8547425700872788,1,28328781
Chr01_28712698_28712702,0.698081172638668,0.0809353877804541,0.100726506277924,0.562101040293034,0.8547425700872788,1,28712698
Chr01_28712703_29260469,0.67269127585383,0.180355420647619,0.1090706671299,0.6504274539537932,0.8547425700872788,1,28712703
Chr01_29260470_29264772,0.715987141986642,0.220907600329329,0.0831192486608659,0.662722800987987,0.8547425700872788,1,29260470
Chr01_29264773_29827856,0.864362024287708,0.243923715439854,0.108195017906085,0.6703437879722141,0.8547425700872788,1,29264773
Chr01_29827857_29864780,0.702775232664766,0.250753253149733,0.134181568934848,0.6783016370314406,0.8547425700872788,1,29827857
Chr01_29864781_30461232,0.933151223529631,0.222771059918486,0.0658798378377344,0.665501169786031,0.8547425700872788,1,29864781
Chr01_30461233_30463952,0.971000712675611,0.447243129380519,0.261848450071051,0.7914240845576138,0.8871002648213346,1,30461233
Chr01_30463953_31287140,0.858711502547294,0.402469886469788,0.342281253997399,0.7540437756233577,0.8871002648213346,1,30463953
Chr01_31287141_31299042,0.762962062123704,0.19563205432948,0.142964403955195,0.6576259919156018,0.8547425700872788,1,31287141
Chr01_31299043_32249075,0.676130099078432,0.119175663867118,0.457569525340096,0.6226268439853659,0.9582895029210325,1,31299043
Chr01_32249076_32254238,0.894180396988301,0.214533529353835,0.354411984926264,0.6621659896402022,0.8871002648213346,1,32249076
Chr01_32254239_32925441,0.801187574062008,0.217890970339098,0.484784733029383,0.662722800987987,0.9582895029210325,1,32254239
Chr01_32925442_32925676,0.844606973751306,0.259229001322902,0.483499573314179,0.683142043054399,0.9582895029210325,1,32925442
Chr01_32925677_33648211,0.854767354279502,0.127815359936367,0.377609950282132,0.6279907735649053,0.9262029569389851,1,32925677
Chr01_33648212_33648861,0.991820373890261,0.127020772924719,0.499544476081369,0.627682508597124,0.9582895029210325,1,33648212
Chr01_33648862_33944256,0.970980403525823,0.0944887807872724,0.551532823666114,0.5947235026022438,0.9656417255833287,1,33648862
Chr01_33944257_33944395,0.937177896085804,0.0842393666764982,0.51899012090871,0.5630227609241881,0.9621099117671983,1,33944257
Chr01_33944396_34707623,0.817316372586206,0.204474530277019,0.774200536690757,0.6580762668020232,0.9658731861306239,1,33944396
Chr01_34707624_34711948,0.798383841899846,0.492405716723861,0.797089073497523,0.8175632848363417,0.9658731861306239,1,34707624
Chr01_34711949_35098398,0.771932744210152,0.565841120424158,0.665436488035692,0.8432294614391626,0.9658731861306239,1,34711949
Chr01_35098399_35197978,0.825486090063242,0.730587324552903,0.801313709385538,0.9247013226208081,0.9658731861306239,1,35098399
Chr01_35197979_35842906,0.776716258376043,0.922197012492306,0.719254938509859,0.9752989875398733,0.9658731861306239,1,35197979
Chr01_35842907_35842941,0.485617388279861,0.960743792935002,0.804750271925287,0.9832053906444281,0.9658731861306239,1,35842907
Chr01_35842942_36467175,0.522756879389556,0.628272697779558,0.891012475140218,0.8783899638683963,0.9658731861306239,1,35842942
Chr01_36467176_36477457,0.561961791939491,0.474291502718375,0.882617852824478,0.806965931303525,0.9658731861306239,1,36467176
Chr01_36477458_36677915,0.909139562317451,0.496847688941023,0.693464046190152,0.8198603029402262,0.9658731861306239,1,36477458
Chr01_36677916_36678639,0.933092550228636,0.353736429859077,0.737460845629993,0.7197285549182943,0.9658731861306239,1,36677916
Chr01_36678640_37008510,0.811252397400959,0.287271041902471,0.754730742329238,0.6853902805113233,0.9658731861306239,1,36678640
Chr01_37008511_37008685,0.953939257730916,0.186346318037866,0.674167820110649,0.6504274539537932,0.9658731861306239,1,37008511
Chr01_37008686_37399402,0.98399971712372,0.31078442942351,0.8156313801117,0.7111118122478866,0.9658731861306239,1,37008686
Chr01_37399403_37399747,0.815990495912699,0.363988670141668,0.732698827691449,0.7219148653142752,0.9658731861306239,1,37399403
Chr01_37399748_38492440,0.974055959326368,0.398133894661849,0.680565349455216,0.7532474274250699,0.9658731861306239,1,37399748
Chr01_38492441_38553272,0.721459682935876,0.77569287040671,0.862052729547218,0.9375459511756867,0.9658731861306239,1,38492441
Chr01_38553273_41248221,0.983851406977013,0.524668152156374,0.846725539184695,0.8283294339734463,0.9658731861306239,1,38553273
Chr01_41248222_41249634,0.376307391013099,0.894140176941904,0.753159766085596,0.9696587729674025,0.9658731861306239,1,41248222
Chr01_41249635_41946984,0.640430162843088,0.505690634992723,0.653148283981709,0.8198603029402262,0.9658731861306239,1,41249635
Chr01_41946985_41946999,0.331498683522029,0.721026099380137,0.897014275572512,0.9208861189695914,0.9658731861306239,1,41946985
Chr01_41947000_42826924,0.982137795738075,0.328562519097008,0.893706694216894,0.7129930830811818,0.9658731861306239,1,41947000
Chr01_42826925_42828044,0.663832057533963,0.400924218944171,0.85650864760623,0.7540239584788282,0.9658731861306239,1,42826925
Chr01_42828045_44953517,0.992661237484049,0.209108346460456,0.878679741760903,0.6580762668020232,0.9658731861306239,1,42828045
Chr01_44953518_50495391,0.39135631790214,0.550579142647244,0.791854950131278,0.835747901328271,0.9658731861306239,1,44953518
Chr02_1_4524,0.926199473416474,0.0249817089016242,0.247747576160691,0.484825268563056,0.8871002648213346,2,1
Chr02_4525_349303,0.926199473416474,0.0249817089016242,0.247747576160691,0.484825268563056,0.8871002648213346,2,4525
Chr02_349304_361275,0.942297012794757,0.0490355538794912,0.318860556866015,0.5114051457189486,0.8871002648213346,2,349304
Chr02_361276_876244,0.889630590117073,0.0438381998806862,0.307195099926333,0.5086287528325399,0.8871002648213346,2,361276
Chr02_876245_880558,0.444998422650046,0.151125294053692,0.894725974986485,0.6482433107227952,0.9658731861306239,2,876245
Chr02_880559_1380844,0.463768382287538,0.0838357446162947,0.757297685001207,0.5630227609241881,0.9658731861306239,2,880559
Chr02_1380845_1380870,0.559782967353079,0.0864406267951895,0.671585203432947,0.5630933906315887,0.9658731861306239,2,1380845
Chr02_1380871_1588241,0.952594603075727,0.039382594037283,0.304367190685784,0.5013742422989477,0.8871002648213346,2,1380871
Chr02_1588242_1591077,0.974315992423338,0.0390424243105577,0.480830423871747,0.5013742422989477,0.9582895029210325,2,1588242
Chr02_1591078_2117143,0.869581310375866,0.0386812397443145,0.378355444820987,0.5013742422989477,0.9262029569389851,2,1591078
Chr02_2117144_2118662,0.975674919121325,0.0468646038567493,0.347318021151438,0.5114051457189486,0.8871002648213346,2,2117144
Chr02_2118663_2439301,0.953673080478047,0.0389597585804416,0.444212349259471,0.5013742422989477,0.9580771721621864,2,2118663
Chr02_2439302_2439318,0.60571925795943,0.223906935628945,0.22791011804293,0.665501169786031,0.8871002648213346,2,2439302
Chr02_2439319_3802076,0.627656306864548,0.159504387632721,0.34673378270827,0.6504274539537932,0.8871002648213346,2,2439319
Chr02_3802077_3811171,0.603096419296664,0.22944761797938,0.158395755016297,0.6703437879722141,0.8547425700872788,2,3802077
Chr02_3811172_4203782,0.637613179508246,0.0476000228905101,0.0703329589639784,0.5114051457189486,0.8547425700872788,2,3811172
Chr02_4203783_4204963,0.895785440092097,0.0239095016291514,0.0605108623105355,0.484825268563056,0.8547425700872788,2,4203783
Chr02_4204964_5059530,0.21456063212281,0.0246218661085162,0.0133488747570793,0.484825268563056,0.8547425700872788,2,4204964
Chr02_5059531_5059566,0.924995914657551,0.0847749743863004,0.0402561445921924,0.5630227609241881,0.8547425700872788,2,5059531
Chr02_5059567_5396611,0.738582114835599,0.0661567545853695,0.103740934689098,0.5177625903670808,0.8547425700872788,2,5059567
Chr02_5396612_5398283,0.662601882570086,0.079797024112571,0.102155051656707,0.5609090089080722,0.8547425700872788,2,5396612
Chr02_5398284_5923170,0.833005865520627,0.0854629834136618,0.152596253471728,0.5630933906315887,0.8547425700872788,2,5398284
Chr02_5923171_5954021,0.662023299590052,0.180057304431151,0.0533596153532871,0.6504274539537932,0.8547425700872788,2,5923171
Chr02_5954022_6493859,0.707001414794505,0.176411358380074,0.042929370680493,0.6504274539537932,0.8547425700872788,2,5954022
Chr02_6493860_6498865,0.791282265027184,0.333331401562817,0.0503398284635756,0.7155511630709859,0.8547425700872788,2,6493860
Chr02_6498866_6748647,0.762272999206352,0.200270742046924,0.0342237180455243,0.6580762668020232,0.8547425700872788,2,6498866
Chr02_6748648_6759682,0.697889475233532,0.149652467189297,0.0131463817046752,0.6470364954156673,0.8547425700872788,2,6748648
