Marker,Intercept,Deltoides,Nigra,Dosage,Nigra_Dosage,Del_P_adj,Nig_P_adj,Dos_P_adj,CHR,BP
Chr01_1_126237,0.507012584407634,0.610057567433748,0.245129635693009,0.904150257189533,Chr01_1_126237,0.9585754844384067,0.7812154028388333,0.982796403311297,1,1
Chr01_126238_809425,0.507012584407634,0.610057567433748,0.245129635693009,0.904150257189533,Chr01_126238_809425,0.9585754844384067,0.7812154028388333,0.982796403311297,1,126238
Chr01_809426_814269,0.659743952060187,0.609551798006656,0.190949740936066,0.970669218490255,Chr01_809426_814269,0.9585754844384067,0.7240775753397386,0.9883762854942232,1,809426
Chr01_814270_1367747,0.491502650073417,0.824282749002574,0.167964311285865,0.777317433554757,Chr01_814270_1367747,0.9819437942413486,0.7188676857130941,0.9321736410207437,1,814270
Chr01_1367748_1367899,0.719975132268345,0.546273330700895,0.358330568814872,0.739439274226319,Chr01_1367748_1367899,0.9585754844384067,0.8662292745146521,0.9197337339522518,1,1367748
Chr01_1367900_2042574,0.669647002964261,0.581986768517139,0.312157889876753,0.727084894939405,Chr01_1367900_2042574,0.9585754844384067,0.8184523304439798,0.9197337339522518,1,1367900
Chr01_2042575_2043251,0.772211360747524,0.443555834820367,0.406268443270039,0.735564777890126,Chr01_2042575_2043251,0.9585754844384067,0.9020856153350981,0.9197337339522518,1,2042575
Chr01_2043252_2231677,0.685473225936305,0.749110002647795,0.988784796622644,0.92353325539087,Chr01_2043252_2231677,0.9819437942413486,0.9991604219858362,0.982796403311297,1,2043252
Chr01_2231678_2231705,0.444006819770592,0.515264116071715,0.572129584823721,0.834528902883484,Chr01_2231678_2231705,0.9585754844384067,0.9163819690429236,0.9649731570065145,1,2231678
Chr01_2231706_3033846,0.417265421517287,0.482662066538583,0.546385170289222,0.826199242751213,Chr01_2231706_3033846,0.9585754844384067,0.9163819690429236,0.9571440283948015,1,2231706
Chr01_3033847_3052413,0.249243772446524,0.345020561672887,0.368108464598807,0.73353454560589,Chr01_3033847_3052413,0.9585754844384067,0.8709276775453023,0.9197337339522518,1,3033847
Chr01_3052414_4229970,0.283087652972599,0.568633817346576,0.052439566893976,0.68005795443204,Chr01_3052414_4229970,0.9585754844384067,0.7128400832360191,0.9197337339522518,1,3052414
Chr01_4229971_4235626,0.565177836926335,0.53869227743343,0.0766633512890951,0.277974382316319,Chr01_4229971_4235626,0.9585754844384067,0.7128400832360191,0.7704260151517854,1,4229971
Chr01_4235627_5264100,0.512680253111701,0.741749711684982,0.060486109987135,0.286013561321492,Chr01_4235627_5264100,0.9818180831016982,0.7128400832360191,0.771207688982985,1,4235627
Chr01_5264101_5264149,0.544540425439039,0.80912514148695,0.0550142006163025,0.312087942039389,Chr01_5264101_5264149,0.9819437942413486,0.7128400832360191,0.8006291785379455,1,5264101
Chr01_5264150_5885231,0.634064711002213,0.597287763729465,0.0301308679139243,0.314819720370802,Chr01_5264150_5885231,0.9585754844384067,0.7128400832360191,0.8006291785379455,1,5264150
Chr01_5885232_5886075,0.167014060341102,0.659050632198861,0.0470322767316625,"NA",Chr01_5885232_5886075,0.9585754844384067,0.7128400832360191,NA,1,5885232
Chr01_5886076_6253003,0.181508459759405,0.639891999202398,0.139484027329435,"NA",Chr01_5886076_6253003,0.9585754844384067,0.7128400832360191,NA,1,5886076
Chr01_6253004_6253851,0.186491220755015,0.572141632687777,0.253437785475978,"NA",Chr01_6253004_6253851,0.9585754844384067,0.7880927222006687,NA,1,6253004
Chr01_6253852_6811196,0.258590737235392,0.625474099220414,0.267932242477677,"NA",Chr01_6253852_6811196,0.9585754844384067,0.796307938047009,NA,1,6253852
Chr01_6811197_6811650,0.115463633304738,0.363986086563863,0.104762234243303,"NA",Chr01_6811197_6811650,0.9585754844384067,0.7128400832360191,NA,1,6811197
Chr01_6811651_7107385,0.159005921459718,0.547526169200538,0.0897702853037992,"NA",Chr01_6811651_7107385,0.9585754844384067,0.7128400832360191,NA,1,6811651
Chr01_7107386_7117068,0.198232462854189,0.731486261649766,0.0117406633270482,"NA",Chr01_7107386_7117068,0.9793298894633445,0.7128400832360191,NA,1,7107386
Chr01_7117069_8021093,0.0678453864406505,0.785069077552288,0.0139364566320303,0.130260147168506,Chr01_7117069_8021093,0.9819437942413486,0.7128400832360191,0.6540841749642798,1,7117069
Chr01_8021094_8021338,0.484077365707751,0.955684915947042,0.0730755836886119,"NA",Chr01_8021094_8021338,0.9957334864468165,0.7128400832360191,NA,1,8021094
Chr01_8021339_8546533,0.293310967848597,0.76645006150917,0.136150725206475,"NA",Chr01_8021339_8546533,0.9819437942413486,0.7128400832360191,NA,1,8021339
Chr01_8546534_8548055,0.454578271726492,0.952960863378138,0.16550756434757,"NA",Chr01_8546534_8548055,0.9957334864468165,0.7188676857130941,NA,1,8546534
Chr01_8548056_9439189,0.552006125449837,0.804201209766028,0.385518507426456,"NA",Chr01_8548056_9439189,0.9819437942413486,0.8904810697966968,NA,1,8548056
Chr01_9439190_9439923,0.658221023948058,0.780096078725776,0.156166403401342,"NA",Chr01_9439190_9439923,0.9819437942413486,0.7188676857130941,NA,1,9439190
Chr01_9439924_10127710,0.515674256394873,0.921261121198368,0.208801840785038,"NA",Chr01_9439924_10127710,0.9957334864468165,0.7384574556288381,NA,1,9439924
