Marker,Intercept,Nigra,Nig_P_adj,CHR,BP
Chr01_1_126237,0.0854837335565986,0.895188017126989,0.9858399682284563,1,1
Chr01_126238_809425,0.0854837335565986,0.895188017126989,0.9858399682284563,1,126238
Chr01_809426_814269,0.322517886813329,0.414722635963495,0.9727685358261391,1,809426
Chr01_814270_1367747,0.296016348329005,0.384689803752891,0.9391534239579508,1,814270
Chr01_1367748_1367899,0.64851709307426,0.123585627048364,0.9067796573814186,1,1367748
Chr01_1367900_2042574,0.402370169010526,0.0948977230007597,0.8991794149675945,1,1367900
Chr01_2042575_2043251,0.329837260066603,0.201037478716444,0.9106434546927007,1,2042575
Chr01_2043252_2231677,0.234796873500204,0.203662230178795,0.9106434546927007,1,2043252
Chr01_2231678_2231705,0.252053441839114,0.177976574341337,0.9067796573814186,1,2231678
Chr01_2231706_3033846,0.287341807961784,0.205537080682992,0.9106434546927007,1,2231706
Chr01_3033847_3052413,0.187566006721978,0.306598569139978,0.9323549220075931,1,3033847
Chr01_3052414_4229970,0.235045486284232,0.177020880535815,0.9067796573814186,1,3052414
Chr01_4229971_4235626,0.449059122383182,0.32158866302272,0.9323549220075931,1,4229971
Chr01_4235627_5264100,0.387429698520733,0.504835450497372,0.9768102056686633,1,4235627
Chr01_5264101_5264149,0.321301351616643,0.61726180785249,0.9768102056686633,1,5264101
Chr01_5264150_5885231,0.0818859991215889,0.697435791873369,0.9768102056686633,1,5264150
Chr01_5885232_5886075,0.131577802790494,0.465891479573642,0.9768102056686633,1,5885232
Chr01_5886076_6253003,0.0682797079165415,0.282707424559709,0.9288093294358438,1,5886076
Chr01_6253004_6253851,0.015971883993726,0.214543301986307,0.9165979464325705,1,6253004
Chr01_6253852_6811196,0.0177608052093539,0.159647161933907,0.9067796573814186,1,6253852
Chr01_6811197_6811650,0.0343797142892701,0.326750281190157,0.9323549220075931,1,6811197
Chr01_6811651_7107385,0.118396245131745,0.340523686237725,0.9380932437096656,1,6811651
Chr01_7107386_7117068,0.035317448025005,0.156546148293856,0.9067796573814186,1,7107386
Chr01_7117069_8021093,0.0213233471966524,0.282825384226858,0.9288093294358438,1,7117069
Chr01_8021094_8021338,0.0655661986456604,0.447094634537266,0.9768102056686633,1,8021094
Chr01_8021339_8546533,0.131559052781018,0.57279894912589,0.9768102056686633,1,8021339
Chr01_8546534_8548055,0.225932257295206,0.662859345982575,0.9768102056686633,1,8546534
Chr01_8548056_9439189,0.10991171456854,0.964784423387965,0.9943232751526717,1,8548056
Chr01_9439190_9439923,0.123717614963029,0.950977779257998,0.9870778034163818,1,9439190
