Marker,Intercept,Deltoides,Nigra,Del_P_adj,Nig_P_adj,CHR,BP
Chr01_1_126237,0.218504948494539,0.0491476570022681,0.840044932382036,0.9994262421326207,0.9568598121213496,1,1
Chr01_126238_809425,0.218417941691408,0.0483716496992206,0.837114557405279,0.9994262421326207,0.9568598121213496,1,126238
Chr01_809426_814269,0.133664411732506,0.0944273783028603,0.817486776013566,0.9994262421326207,0.9544287880025626,1,809426
Chr01_814270_1367747,0.154328661471904,0.0572183297170841,0.738676224282218,0.9994262421326207,0.9460227924997002,1,814270
Chr01_1367748_1367899,0.180648535627341,0.0890066298658331,0.979229066176713,0.9994262421326207,0.9901002944349575,1,1367748
Chr01_1367900_2042574,0.199337963623248,0.0676259338762491,0.895658972563588,0.9994262421326207,0.9724008912950791,1,1367900
Chr01_2042575_2043251,0.337623385682747,0.0760745742528935,0.854706654513023,0.9994262421326207,0.9568598121213496,1,2042575
Chr01_2043252_2231677,0.15544170836493,0.0483336326499987,0.671846227856761,0.9994262421326207,0.9460227924997002,1,2043252
Chr01_2231678_2231705,0.207935608089724,0.0723099660946237,0.944331823063534,0.9994262421326207,0.977813783300238,1,2231678
Chr01_2231706_3033846,0.1940828904017,0.0625800077430489,0.974499041206556,0.9994262421326207,0.9874035848923494,1,2231706
Chr01_3033847_3052413,0.167267757816382,0.140186236394865,0.827021640013181,0.9994262421326207,0.9560886426562946,1,3033847
Chr01_3052414_4229970,0.117402853221421,0.0714814398431457,0.794314296899865,0.9994262421326207,0.9544287880025626,1,3052414
Chr01_4229971_4235626,0.0766232961135867,0.0439994661507765,0.521211757903863,0.9994262421326207,0.9303022982518017,1,4229971
Chr01_4235627_5264100,0.176582551245878,0.00620517476046896,0.736623814344048,0.5793700588118135,0.9460227924997002,1,4235627
Chr01_5264101_5264149,0.0238285851652555,0.00234932914791392,0.481177691977859,0.36991489796174876,0.923336282047501,1,5264101
Chr01_5264150_5885231,0.0323295946695875,0.00134360475041315,0.218268892325302,0.3234728436619659,0.8973236988397308,1,5264150
Chr01_5885232_5886075,0.0472284979000956,0.00307302095918379,0.241289377936849,0.36991489796174876,0.9184255768900615,1,5885232
Chr01_5886076_6253003,0.113259254386721,0.00291390593926009,0.336664845160201,0.36991489796174876,0.923336282047501,1,5886076
Chr01_6253004_6253851,0.2082525053498,0.000292274064473456,0.790126637889657,0.14072996204396906,0.9522035711733773,1,6253004
Chr01_6253852_6811196,0.202809328204116,0.000749540752818731,0.959613708891366,0.24060258165481266,0.9835166563229445,1,6253852
Chr01_6811197_6811650,0.104848021665486,0.000209694117158448,0.720606814995225,0.14072996204396906,0.9460227924997002,1,6811197
Chr01_6811651_7107385,0.0371256164995743,0.0183868996434203,0.935014109325235,0.8853292178306875,0.977813783300238,1,6811651
Chr01_7107386_7117068,0.05393872634053,0.0329780260693519,0.612933793530737,0.9994262421326207,0.9460227924997002,1,7107386
Chr01_7117069_8021093,0.0643342867439251,0.112422663822306,0.886648558449955,0.9994262421326207,0.9691743039583505,1,7117069
Chr01_8021094_8021338,0.0861229209853015,0.376692419758388,0.707493350640324,0.9994262421326207,0.9460227924997002,1,8021094
Chr01_8021339_8546533,0.0501995110234473,0.352988481890827,0.853333435727757,0.9994262421326207,0.9568598121213496,1,8021339
Chr01_8546534_8548055,0.142194712636058,0.48949093077667,0.922947649064938,0.9994262421326207,0.977813783300238,1,8546534
Chr01_8548056_9439189,0.142134973782253,0.535247281089327,0.888204393329041,0.9994262421326207,0.9693898339042542,1,8548056
Chr01_9439190_9439923,0.496877329400449,0.751439570508899,0.55039977580806,0.9994262421326207,0.9386083898673453,1,9439190
Chr01_9439924_10127710,0.297331717981301,0.859368411408311,0.743874902130744,0.9994262421326207,0.9460227924997002,1,9439924
Chr01_10127711_10127775,0.284661851888009,0.68782185062838,0.913418533727737,0.9994262421326207,0.977813783300238,1,10127711
Chr01_10127776_10700451,0.0217334032744528,0.983281714491536,0.753034112883818,0.9994262421326207,0.9460227924997002,1,10127776
Chr01_10700452_10700489,0.0359219687766274,0.542020177853377,0.784088885922321,0.9994262421326207,0.9505729340853848,1,10700452
Chr01_10700490_11189458,0.0123553858336505,0.443924730580912,0.474280968611932,0.9994262421326207,0.923336282047501,1,10700490
Chr01_11189459_11289027,0.0468574423033575,0.69933260713765,0.377639512223938,0.9994262421326207,0.923336282047501,1,11189459
Chr01_11289028_11965532,0.0459786233682693,0.859718426609567,0.227168317643722,0.9994262421326207,0.8973236988397308,1,11289028
Chr01_11965533_11966198,0.160260383422876,0.495310556819133,0.180560749570565,0.9994262421326207,0.8826396032307314,1,11965533
Chr01_11966199_12330339,0.127052975940115,0.509228799167988,0.0777543708272522,0.9994262421326207,0.7582752387775127,1,11966199
