Marker,Intercept,Nigra,Nig_P_adj,CHR,BP
Chr01_1_126237,0.582806447869825,0.805394952043036,0.9623491398824645,1,1
Chr01_126238_809425,0.582806447869825,0.805394952043036,0.9623491398824645,1,126238
Chr01_809426_814269,0.675896353780367,0.71046809302241,0.9561576394749333,1,809426
Chr01_814270_1367747,0.692489225253753,0.728943621508488,0.9561576394749333,1,814270
Chr01_1367748_1367899,0.296307688967441,0.948776307991628,0.9857984113596954,1,1367748
Chr01_1367900_2042574,0.650775427724372,0.789562575844838,0.959081945992727,1,1367900
Chr01_2042575_2043251,0.975304249862403,0.732327331051928,0.9561576394749333,1,2042575
Chr01_2043252_2231677,0.606667274505405,0.816282850708765,0.9663972088198851,1,2043252
Chr01_2231678_2231705,0.392986872558861,0.858313767893625,0.9801984198976122,1,2231678
Chr01_2231706_3033846,0.357663862187454,0.907907101353204,0.9857984113596954,1,2231706
Chr01_3033847_3052413,0.244403375540114,0.949952282556578,0.9857984113596954,1,3033847
Chr01_3052414_4229970,0.698764300471069,0.621113502202594,0.9518357095884313,1,3052414
Chr01_4229971_4235626,0.693595133836219,0.785720414686586,0.959081945992727,1,4229971
Chr01_4235627_5264100,0.663108591361365,0.633767523814039,0.9518357095884313,1,4235627
Chr01_5264101_5264149,0.487140128711712,0.594330530668955,0.9518357095884313,1,5264101
Chr01_5264150_5885231,0.595494738023695,0.541745760730875,0.9478280032552303,1,5264150
Chr01_5885232_5886075,0.495562375697017,0.470872340244694,0.9478280032552303,1,5885232
Chr01_5886076_6253003,0.70565284048942,0.503736680264409,0.9478280032552303,1,5886076
Chr01_6253004_6253851,0.778024671639687,0.684038196076373,0.9561576394749333,1,6253004
Chr01_6253852_6811196,0.749756110152131,0.603665497244286,0.9518357095884313,1,6253852
Chr01_6811197_6811650,0.736767723872635,0.70385360324122,0.9561576394749333,1,6811197
Chr01_6811651_7107385,0.614614783388993,0.869091505532715,0.9821392858547691,1,6811651
Chr01_7107386_7117068,0.7549497166084,0.464348137716151,0.9478280032552303,1,7107386
Chr01_7117069_8021093,0.511799672044499,0.452193734234905,0.9478280032552303,1,7117069
Chr01_8021094_8021338,0.501955162133848,0.99336204083835,0.9990440652561016,1,8021094
Chr01_8021339_8546533,0.841302208361111,0.992064259830141,0.9990440652561016,1,8021339
Chr01_8546534_8548055,0.576031338487982,0.62995427713027,0.9518357095884313,1,8546534
Chr01_8548056_9439189,0.757632062274151,0.365001881106115,0.9478280032552303,1,8548056
Chr01_9439190_9439923,0.680511920549136,0.734012018487082,0.9561576394749333,1,9439190
Chr01_9439924_10127710,0.880023550825776,0.450431747422142,0.9478280032552303,1,9439924
Chr01_10127711_10127775,0.756824123950234,0.216045831979387,0.9478280032552303,1,10127711
Chr01_10127776_10700451,0.805232773210047,0.489132727575405,0.9478280032552303,1,10127776
Chr01_10700452_10700489,0.951346540668742,0.447800767054844,0.9478280032552303,1,10700452
Chr01_10700490_11189458,0.746475763383903,0.261499352772267,0.9478280032552303,1,10700490
Chr01_11189459_11289027,0.90645832830223,0.197222599427381,0.9478280032552303,1,11189459
Chr01_11289028_11965532,0.954102427511091,0.22506683681958,0.9478280032552303,1,11289028
Chr01_11965533_11966198,0.78201248159447,0.349730541124572,0.9478280032552303,1,11965533
Chr01_11966199_12330339,0.888648138274601,0.347446972729763,0.9478280032552303,1,11966199
Chr01_12330340_12330527,0.891475616097435,0.302879818369212,0.9478280032552303,1,12330340
Chr01_12330528_13051606,0.877498064972158,0.285037691637333,0.9478280032552303,1,12330528
Chr01_13051607_13052006,0.892719408706579,0.287279081229207,0.9478280032552303,1,13051607
Chr01_13052007_13382483,0.990119627932702,0.248457654921166,0.9478280032552303,1,13052007
Chr01_13382484_13382509,0.909131578144383,0.295318849544284,0.9478280032552303,1,13382484
Chr01_13382510_13576339,0.897897770443396,0.386413675573199,0.9478280032552303,1,13382510
Chr01_13576340_13576350,0.814424345012325,0.427382965791355,0.9478280032552303,1,13576340
Chr01_13576351_14061355,0.744144409593689,0.480944219610577,0.9478280032552303,1,13576351
Chr01_14061356_14061634,0.644762576153072,0.577555177250604,0.9518357095884313,1,14061356
Chr01_14061635_14604721,0.779974479369263,0.704110271304882,0.9561576394749333,1,14061635
Chr01_14604722_14607157,0.964138618845229,0.912035957975846,0.9857984113596954,1,14604722
Chr01_14607158_15449572,0.778022858491297,0.993362713590535,0.9990440652561016,1,14607158
Chr01_15449573_15456448,0.892353090851046,0.970017349130198,0.9907220951094979,1,15449573
Chr01_15456449_16406535,0.561875661904449,0.784685582567228,0.959081945992727,1,15456449
Chr01_16406536_16454790,0.734748852472337,0.841354618001802,0.9734509587556577,1,16406536
Chr01_16454791_19216253,0.888451231501987,0.86605330336766,0.9820059375863159,1,16454791
Chr01_19216254_19216663,0.945846933729894,0.772035825151201,0.959081945992727,1,19216254
Chr01_19216664_20661429,0.686248868133652,0.923498104031834,0.9857984113596954,1,19216664
Chr01_20661430_20662913,0.619218222008347,0.848926198876287,0.974127544753725,1,20661430
Chr01_20662914_21251875,0.685850966015614,0.78448228612078,0.959081945992727,1,20662914
Chr01_21251876_21488109,0.673909589183562,0.547298510450922,0.9478280032552303,1,21251876
Chr01_21488110_22523058,0.62731209529188,0.415733467296624,0.9478280032552303,1,21488110
Chr01_22523059_22523376,0.332143148592492,0.120168495184173,0.9478280032552303,1,22523059
Chr01_22523377_25610270,0.602395738965214,0.169935437456225,0.9478280032552303,1,22523377
Chr01_25610271_25623774,0.653290200257677,0.162602156874174,0.9478280032552303,1,25610271
Chr01_25623775_25991881,0.761628456740187,0.0429349049775525,0.7918944102134422,1,25623775
Chr01_25991882_26001088,0.593712286011804,0.0413580073218973,0.7918944102134422,1,25991882
Chr01_26001089_26286066,0.670906335443901,0.0527637406981004,0.8317100771202469,1,26001089
Chr01_26286067_26293474,0.632362971567311,0.066511113899815,0.8964948732693374,1,26286067
Chr01_26293475_26583692,0.710862505514599,0.0618215662084771,0.8964948732693374,1,26293475
Chr01_26583693_26647317,0.897777703963683,0.0233340594791361,0.7658641059286686,1,26583693
Chr01_26647318_27308826,0.859190040174357,0.0345630210966901,0.7658641059286686,1,26647318
Chr01_27308827_27314420,0.760095558582511,0.0535973392300996,0.8317100771202469,1,27308827
Chr01_27314421_27701084,0.940073352063065,0.0403784357393161,0.7918944102134422,1,27314421
Chr01_27701085_27712150,0.958232699696029,0.0627114407448014,0.8964948732693374,1,27701085
Chr01_27712151_27987745,0.947962341906325,0.140334191467915,0.9478280032552303,1,27712151
Chr01_27987746_27996902,0.828673431879586,0.145419272636739,0.9478280032552303,1,27987746
Chr01_27996903_28327995,0.674120811799559,0.216372939634017,0.9478280032552303,1,27996903
Chr01_28327996_28328780,0.867935658910236,0.348002816529105,0.9478280032552303,1,28327996
Chr01_28328781_28712697,0.839365474091967,0.458999166321631,0.9478280032552303,1,28328781
Chr01_28712698_28712702,0.916317772227081,0.511816435145491,0.9478280032552303,1,28712698
Chr01_28712703_29260469,0.927719970415179,0.594337301377242,0.9518357095884313,1,28712703
Chr01_29260470_29264772,0.822331563911792,0.504843787734796,0.9478280032552303,1,29260470
Chr01_29264773_29827856,0.737582650024001,0.56583417872613,0.9483420473571039,1,29264773
Chr01_29827857_29864780,0.766114810681156,0.791255849986343,0.959081945992727,1,29827857
Chr01_29864781_30461232,0.832468444897111,0.525113840151431,0.9478280032552303,1,29864781
