Marker,Intercept,Nigra,Nig_P_adj,CHR,BP
Chr01_1_126237,0.17343563192512,0.563614456930034,0.9849858776507686,1,1
Chr01_126238_809425,0.17343563192512,0.563614456930034,0.9849858776507686,1,126238
Chr01_809426_814269,0.211320195635484,0.538151349504343,0.984199065769008,1,809426
Chr01_814270_1367747,0.188303649660179,0.5167972727365,0.984199065769008,1,814270
Chr01_1367748_1367899,0.078793335715475,0.833522580247473,0.9886856595267929,1,1367748
Chr01_1367900_2042574,0.10837688195193,0.718455184951974,0.9886856595267929,1,1367900
Chr01_2042575_2043251,0.115859362151673,0.892196345428201,0.9886856595267929,1,2042575
Chr01_2043252_2231677,0.114933586275611,0.623387213604958,0.9886856595267929,1,2043252
Chr01_2231678_2231705,0.116991519901093,0.709539049021775,0.9886856595267929,1,2231678
Chr01_2231706_3033846,0.106366292570186,0.679253058437376,0.9886856595267929,1,2231706
Chr01_3033847_3052413,0.0406398874672022,0.626571213202577,0.9886856595267929,1,3033847
Chr01_3052414_4229970,0.227510979514912,0.0696620513803356,0.6884682369956415,1,3052414
Chr01_4229971_4235626,0.219235432911258,0.0787669049934284,0.6884682369956415,1,4229971
Chr01_4235627_5264100,0.370064863372861,0.0397397032303398,0.6884682369956415,1,4235627
Chr01_5264101_5264149,0.353465725289188,0.062278442101552,0.6884682369956415,1,5264101
Chr01_5264150_5885231,0.213811537971989,0.124853964483862,0.7137578424790421,1,5264150
Chr01_5885232_5886075,0.203601612023514,0.0908673417615226,0.7007568483355987,1,5885232
Chr01_5886076_6253003,0.104164894301866,0.222598134881298,0.7690484298967588,1,5886076
Chr01_6253004_6253851,0.13422627786628,0.293927559150957,0.8873459751024159,1,6253004
Chr01_6253852_6811196,0.215345719774664,0.197806296633045,0.7557532069513645,1,6253852
Chr01_6811197_6811650,0.320392005450798,0.116417507022416,0.7137578424790421,1,6811197
Chr01_6811651_7107385,0.229381253795595,0.188989590887554,0.7555824075817057,1,6811651
Chr01_7107386_7117068,0.514823660578041,0.051509731593644,0.6884682369956415,1,7107386
Chr01_7117069_8021093,0.356132295318185,0.0386251142793341,0.6884682369956415,1,7117069
Chr01_8021094_8021338,0.605021777898802,0.0542192554773499,0.6884682369956415,1,8021094
Chr01_8021339_8546533,0.325432854686993,0.0655872237672365,0.6884682369956415,1,8021339
Chr01_8546534_8548055,0.325640241988081,0.0869472397529747,0.6884682369956415,1,8546534
Chr01_8548056_9439189,0.258473329013058,0.191783777603266,0.7555824075817057,1,8548056
Chr01_9439190_9439923,0.348194726998753,0.11599392784527,0.7137578424790421,1,9439190
Chr01_9439924_10127710,0.158070433321399,0.14592985020311,0.7314583826497254,1,9439924
Chr01_10127711_10127775,0.127679872737061,0.155232894758037,0.7448479227103082,1,10127711
Chr01_10127776_10700451,0.0922740757119549,0.084440276705844,0.6884682369956415,1,10127776
Chr01_10700452_10700489,0.0483792004266729,0.229798101163718,0.7882321964647961,1,10700452
Chr01_10700490_11189458,0.0406796267092573,0.408659195369661,0.9726818778631795,1,10700490
Chr01_11189459_11289027,0.0222153745055402,0.739521786757411,0.9886856595267929,1,11189459
Chr01_11289028_11965532,0.0401237898876313,0.853950126789152,0.9886856595267929,1,11289028
Chr01_11965533_11966198,0.0363072536117751,0.75018016167406,0.9886856595267929,1,11965533
Chr01_11966199_12330339,0.0472778116972815,0.950695731817111,0.9886856595267929,1,11966199
Chr01_12330340_12330527,0.134174440871122,0.913227292266245,0.9886856595267929,1,12330340
Chr01_12330528_13051606,0.170422319666509,0.813955284688327,0.9886856595267929,1,12330528
Chr01_13051607_13052006,0.201668574092728,0.834532139021731,0.9886856595267929,1,13051607
Chr01_13052007_13382483,0.113584925111294,0.644364340856869,0.9886856595267929,1,13052007
Chr01_13382484_13382509,0.117479577058762,0.646789253213431,0.9886856595267929,1,13382484
Chr01_13382510_13576339,0.086770961464588,0.62247555386635,0.9886856595267929,1,13382510
Chr01_13576340_13576350,0.0904101961513673,0.691526319126096,0.9886856595267929,1,13576340
Chr01_13576351_14061355,0.0891409899030244,0.694122552506789,0.9886856595267929,1,13576351
Chr01_14061356_14061634,0.0587697118998115,0.508530313040765,0.984199065769008,1,14061356
Chr01_14061635_14604721,0.0474128590441169,0.489841096972059,0.9768434490823427,1,14061635
Chr01_14604722_14607157,0.0893099696348203,0.255391974340651,0.8147003981466766,1,14604722
Chr01_14607158_15449572,0.0893115274793701,0.13025696589775,0.7137578424790421,1,14607158
Chr01_15449573_15456448,0.0294498049948884,0.0682086600924424,0.6884682369956415,1,15449573
Chr01_15456449_16406535,0.04323855067012,0.0539064447506315,0.6884682369956415,1,15456449
Chr01_16406536_16454790,0.0203773338930863,0.101929107275103,0.7030260174743812,1,16406536
Chr01_16454791_19216253,0.026624194487781,0.0828365212014456,0.6884682369956415,1,16454791
Chr01_19216254_19216663,0.0210573442900213,0.131206928269284,0.7137578424790421,1,19216254
Chr01_19216664_20661429,0.0344528362279212,0.159314483739106,0.7473723575408061,1,19216664
Chr01_20661430_20662913,0.025842740570221,0.127405831080537,0.7137578424790421,1,20661430
Chr01_20662914_21251875,0.0356234608252614,0.19185634800664,0.7555824075817057,1,20662914
Chr01_21251876_21488109,0.0765174498336834,0.109484999034352,0.7079536761883437,1,21251876
Chr01_21488110_22523058,0.113992830195039,0.0654000973240667,0.6884682369956415,1,21488110
Chr01_22523059_22523376,0.132879872149387,0.0572332638015989,0.6884682369956415,1,22523059
Chr01_22523377_25610270,0.0642063161105575,0.118249685227398,0.7137578424790421,1,22523377
Chr01_25610271_25623774,0.109845414183163,0.0806855015628703,0.6884682369956415,1,25610271
